ID,order,family,specie,y,x
2394,Actinopterygii,Siluriformes,Rhamdia,"-22,6006","-43,0917"
57,Trichoptera,Leptoceridae,Triplectides gracilis,"-22,9574","-43,2776"
456,Trichoptera,Philopotamidae,Sem Informações,"-22,9594","-43,2778"
1482,Actinopterygii,Atheriniformes,Atherinella,"-22,9492","-42,704"
1305,Actinopterygii,Cyprinodontiformes,Jenynsia,"-22,951","-42,8017"
971,Actinopterygii,Siluriformes,Trichomycterus,"-22,5781","-43,3928"
2810,Actinopterygii,Siluriformes,Neoplecostomus,"-22,5249","-43,0309"
1530,Actinopterygii,Atheriniformes,Atherinella,"-22,9633","-42,8403"
3723,Odonata,Aeshnidae,Anax concolor,"-22,451","-42,7708"
490,Trichoptera,Ecnomidae,Sem Informações,"-22,9488","-43,2693"
6113,Siluriformes,Loricariidae,Rineloricaria nigricauda,"-22,5867","-43,1842"
1540,Actinopterygii,Atheriniformes,Atherinella,"-22,9633","-42,8403"
5549,Characiformes,Crenuchidae,Characidium vidali,"-22,5694","-43,1989"
7076,Siluriformes,Trichomycteridae,Sem informação,"-22,4214","-42,7386"
1220,Actinopterygii,Pleuronectiformes,Achirus,"-22,9367","-42,7222"
445,Trichoptera,Hydropsychidae,Smicridea olivacea,"-22,9469","-43,2923"
5779,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,5914","-43,0908"
2125,Actinopterygii,Gymnotiformes,Gymnotus,"-22,5069","-42,9033"
1508,Actinopterygii,Atheriniformes,Atherinella,"-22,9367","-42,8587"
2413,Actinopterygii,Siluriformes,Acentronichthys,"-22,5925","-43,414"
6112,Siluriformes,Loricariidae,Hypostomus affinis,"-22,5969","-43,142"
2853,Actinopterygii,Siluriformes,Schizolecis,"-22,5797","-43,4208"
6381,Siluriformes,Loricariidae,Sem informação,"-22,5336","-42,9281"
2834,Actinopterygii,Siluriformes,Rineloricaria,"-22,5533","-42,693"
2406,Actinopterygii,Siluriformes,Rhamdioglanis,"-22,5619","-43,3894"
6506,Siluriformes,Loricariidae,Sem informação,"-22,5783","-43,0639"
946,Actinopterygii,Siluriformes,Homodiaetus,"-22,5533","-42,693"
3631,Hemiptera,Veliidae,Microvelia argentata,"-22,9335","-43,45"
271,Trichoptera,Leptoceridae,Sem Informações,"-22,9349","-43,4485"
4867,Characiformes,Characidae,Hyphessobrycon bifasciatus,"-23,0167","-43,5"
6895,Cyprinodontiformes,Poeciliidae,Poecilia vivipara,"-22,9833","-43,5"
942,Actinopterygii,Siluriformes,Trichomycterus,"-22,5216","-42,6301"
6451,Siluriformes,Loricariidae,Sem informação,"-22,6133","-43,4108"
378,Trichoptera,Ecnomidae,Sem Informações,"-22,9594","-43,289"
3136,Actinopterygii,Cyprinodontiformes,Phalloptychus,"-22,975","-43,2014"
5796,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,8125","-42,6569"
68,Trichoptera,Helicopsychidae,Sem Informações,"-22,9495","-43,2803"
774,Ephemeroptera,Baetidae,Sem Informações,"-22,9332","-43,4481"
2954,Actinopterygii,Siluriformes,Ancistrus,"-22,5825","-43,4375"
20,Trichoptera,Philopotamidae,Sem Informações,"-22,9594","-43,2778"
6372,Siluriformes,Loricariidae,Rineloricaria steindachneri,"-22,5911","-43,0906"
4207,Siluriformes,Callichthyidae,Scleromystax barbatus,"-22,9661","-43,4797"
3876,Odonata,Aeshnidae,Anax concolor,"-22,5371","-42,7853"
840,Insecta,Coleoptera,Neoelmis,"-22,9489","-43,2858"
6515,Siluriformes,Loricariidae,Parotocinclus maculicauda,"-22,5336","-42,9281"
5561,Characiformes,Crenuchidae,Sem informação,"-22,6003","-43,2658"
4601,Characiformes,Characidae,Sem informaçao,"-22,5867","-43,1842"
6350,Siluriformes,Loricariidae,Hemipsilichthys gobio,"-22,4942","-42,9981"
3279,Actinopterygii,Cyprinodontiformes,Sem Informações,"-22,951","-42,8133"
2911,Actinopterygii,Siluriformes,Ancistrus,"-22,5494","-43,3039"
277,Trichoptera,Philopotamidae,Sem Informações,"-22,9332","-43,4806"
6551,Siluriformes,Loricariidae,Sem informação,"-22,5817","-43,1633"
65,Trichoptera,Leptoceridae,Atanatolica brasiliana,"-22,9469","-43,2923"
5812,Siluriformes,Loricariidae,Loricariichthys castaneus,"-22,6928","-42,9553"
402,Trichoptera,Hydroptilidae,Sem Informações,"-22,9594","-43,2774"
