OBJECTID_1,ID,Ordem,Familia,Especie,X,Y
2864,2929,Actinopterygii,Siluriformes,Parotocinclus,"-22,5925","-43,414"
2627,2676,Actinopterygii,Siluriformes,Harttia,"-22,4153","-42,903"
1317,1352,Actinopterygii,Characiformes,Leporinus,"-22,2765","-41,8749"
2564,2611,Actinopterygii,Siluriformes,Kronichthys,"-22,4486","-42,9835"
4708,4808,Characiformes,Characidae,Sem informaçao,"-22,1189","-43,0486"
5106,5219,Characiformes,Characidae,Sem informaçao,"-22,6139","-43,4111"
2777,2827,Actinopterygii,Siluriformes,Neoplecostomus,"-22,3966","-42,584"
4820,4924,Characiformes,Characidae,Astyanax taeniatus,"-21,8108","-41,6322"
2762,2812,Actinopterygii,Siluriformes,Pareiorhaphis,"-22,4306","-42,5389"
1866,1905,Actinopterygii,Characiformes,Cyphocharax,"-21,8","-41,5846"
1803,1839,Actinopterygii,Characiformes,Characidium,"-22,3972","-42,095"
1910,1949,Actinopterygii,Characiformes,Cyphocharax,"-21,6344","-42,0339"
4760,4860,Characiformes,Characidae,Sem informaçao,"-22,6211","-43,2419"
4522,4622,Characiformes,Characidae,Sem informaçao,"-23,11","-44,72"
2615,2664,Actinopterygii,Siluriformes,Loricariichthys,"-21,6347","-41,7614"
4370,4470,Characiformes,Characidae,Hyphessobrycon bifasciatus,"-22,1067","-41,4722"
6170,6320,Characiformes,Erythrinidae,Hoplias malabaricus,"-22,2833","-41,7325"
2202,2242,Actinopterygii,Siluriformes,Rhamdia,"-22,621","-43,2419"
2503,2549,Actinopterygii,Siluriformes,Hypostomus,"-22,5572","-43,2772"
4991,5100,Characiformes,Characidae,Astyanax bimaculatus,"-22,4189","-41,8615"
874,904,Actinopterygii,Siluriformes,Trichomycterus,"-22,600556","-43,946111"
5281,5397,Cichliformes,Cichlidae,Sem informação,"-21,9125","-41,4236"
3360,3435,Actinopterygii,Characiformes,Prochilodus,"-21,63","-42,0345"
5389,5509,Cichliformes,Cichlidae,Geophagus brasiliensis,"-22,0336","-41,2558"
