ID,Nome cientifico,Nome cientifico na base de dados,Nivel taxonomico,Numero de individuos,Filo,Classe,Ordemm,Familia,Genero,Especie,Estado de conservacao,Categoria de Ameaca,Localidade,Municipio,Status de Sensibilidade,Latitude,Longitude
3901,Chironomidae,Chironomidae,Familia,1.259,Arthropoda,Insecta,Diptera,Chironomidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Restinga De Jurubatiba,Sem Informações,Especie Nao Sensivel,"-22,292,139","-41,688,192"
3902,Chironomidae,Chironomidae,Familia,10,Arthropoda,Insecta,Diptera,Chironomidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,481,667","-43,013,333"
3903,Chironomidae,Chironomidae,Familia,1,Arthropoda,Insecta,Diptera,Chironomidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,449,997","-43,016,664"
3904,Chironomidae,Chironomidae,Familia,41,Arthropoda,Insecta,Diptera,Chironomidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Restinga De Jurubatiba,Sem Informações,Especie Nao Sensivel,"-22,201,389","-414,925"
3905,Chironomidae,Chironomidae,Familia,157,Arthropoda,Insecta,Diptera,Chironomidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,953,611","-43,281,944"
3906,Chironomidae,Chironomidae,Familia,142,Arthropoda,Insecta,Diptera,Chironomidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,959,722","-43,275,833"
3907,Chironomidae,Chironomidae,Familia,80,Arthropoda,Insecta,Diptera,Chironomidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,948,889","-43,285,833"
3908,Chironomidae,Chironomidae,Familia,18,Arthropoda,Insecta,Diptera,Chironomidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,948,889","-43,285,833"
3909,Chironomidae,Chironomidae,Familia,116,Arthropoda,Insecta,Diptera,Chironomidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,427,286","-44,618,267"
3910,Chironomidae,Chironomidae,Familia,116,Arthropoda,Insecta,Diptera,Chironomidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,437,797","-44,605,325"
3911,Corynoneura,Corynoneura,Genero,40,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,449,997","-43,016,664"
3912,Corynoneura,Corynoneura,Genero,222,Arthropoda,Insecta,Diptera,Chironomidae,Corynoneura,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,948,889","-43,285,833"
3913,Dixella torrentia,Dixella torrentia,Especie,2,Arthropoda,Insecta,Diptera,Dixidae,Dixella,Dixella torrentia,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,447","-446,125"
3914,Dixella torrentia,Dixella torrentia,Especie,7,Arthropoda,Insecta,Diptera,Dixidae,Dixella,Dixella torrentia,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,447","-446,125"
3915,Dixella torrentia,Dixella torrentia,Especie,11,Arthropoda,Insecta,Diptera,Dixidae,Dixella,Dixella torrentia,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,447","-446,125"
3916,Dixella torrentia,Dixella torrentia,Especie,28,Arthropoda,Insecta,Diptera,Dixidae,Dixella,Dixella torrentia,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,447","-446,125"
3917,Dixella torrentia,Dixella torrentia,Especie,20,Arthropoda,Insecta,Diptera,Dixidae,Dixella,Dixella torrentia,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,447","-446,125"
3918,Dixella torrentia,Dixella torrentia,Especie,5,Arthropoda,Insecta,Diptera,Dixidae,Dixella,Dixella torrentia,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,447","-446,125"
3919,Dixella torrentia,Dixella torrentia,Especie,9,Arthropoda,Insecta,Diptera,Dixidae,Dixella,Dixella torrentia,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,447","-446,125"
3920,Dixella torrentia,Dixella torrentia,Especie,10,Arthropoda,Insecta,Diptera,Dixidae,Dixella,Dixella torrentia,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,447","-446,125"
3921,Dixidae,Dixidae,Familia,1,Arthropoda,Insecta,Diptera,Dixidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuçu,Sem Informações,Especie Nao Sensivel,"-23,353,606","-44,654,442"
3922,Dixidae,Dixidae,Familia,1,Arthropoda,Insecta,Diptera,Dixidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Area de Proteção Ambiental de Cairuçu,Sem Informações,Especie Nao Sensivel,"-23,338,056","-44,622,778"
3923,Dixidae,Dixidae,Familia,2,Arthropoda,Insecta,Diptera,Dixidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,448,472","-43,013,194"
3924,Dixidae,Dixidae,Familia,1,Arthropoda,Insecta,Diptera,Dixidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,953,611","-43,281,944"
3925,Dixidae,Dixidae,Familia,1,Arthropoda,Insecta,Diptera,Dixidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Tijuca,Sem Informações,Especie Nao Sensivel,"-22,948,889","-43,285,833"
3926,Dixidae,Dixidae,Familia,116,Arthropoda,Insecta,Diptera,Dixidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,427,286","-44,618,267"
3927,Dixidae,Dixidae,Familia,116,Arthropoda,Insecta,Diptera,Dixidae,Sem Informações,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,437,797","-44,605,325"
3928,Ozodicera,Ozodicera,Genero,6,Arthropoda,Insecta,Diptera,Tipulidae,Ozodicera,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional Da Serra DosÓrgaos,Sem Informações,Especie Nao Sensivel,"-22,458,333","-42,983,333"
3929,Ozodicera,Ozodicera,Genero,1,Arthropoda,Insecta,Diptera,Tipulidae,Ozodicera,Sem Informações,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,358,333","-44,736,667"
3930,Ozodicera carrerella,Ozodicera carrerella,Especie,1,Arthropoda,Insecta,Diptera,Tipulidae,Ozodicera,Ozodicera carrerella,Especie Nao Ameaçada,Sem Informações,Maria MendonÃ§a,Trajano De Morais,Especie Nao Sensivel,"-22,062,778","-42,065,831"
3931,Ozodicera cinereipennis,Ozodicera cinereipennis,Especie,1,Arthropoda,Insecta,Diptera,Tipulidae,Ozodicera,Ozodicera cinereipennis,Especie Nao Ameaçada,Sem Informações,Maria MendonÃ§a,Trajano De Morais,Especie Nao Sensivel,"-22,062,778","-42,065,833"
3932,Ozodicera cinereipennis,Ozodicera cinereipennis,Especie,1,Arthropoda,Insecta,Diptera,Tipulidae,Ozodicera,Ozodicera cinereipennis,Especie Nao Ameaçada,Sem Informações,Parque Nacional De Itatiaia,Sem Informações,Especie Nao Sensivel,"-22,358,333","-44,736,667"
