ID_,x_,y_,coliformes_termotolerantes,ph_,oxigenio_dissolvido,DBO_,temperatura_,nitrogenio_total,fosforo_total_,turbidez_,solidos_dissolvidos_totais
190,"-43,214170","-22,456230","790,0","6,38","8,04",<1,"19,86","0,45","0,02","2,9",53
191,"-43,238750","-22,428120","9200,0","6,37","7,83",<1,"19,03","0,68","0,01","2,8",107
192,"-43,307690","-22,391550","490,0","6,94","7,87",2,"19,51","0,98","0,01","8,3",62
193,"-43,115100","-22,395040","160000,0","6,42","7,64",<1,"19,52","0,75","0,05","29,1",55
194,"-43,160450","-22,202850","940,0","6,6","7,13",3,"22,81","0,43","0,03","31,8",20
195,"-43,093000","-22,285650","230,0","6,81","7,28",6,"21,91","1,92","0,03","5,6",45
196,"-43,135650","-22,332860","160000,0","6,83","7,03",3,"21,47","0,76","0,04","11,5",38
197,"-43,101290","-22,237850","160000,0","7,57","3,22",88,"25,64","6,53","0,65","6,98",110
198,"-42,698470","-21,887860","160000,0","6,8","7,17",2,"23,77","2,28","0,09","23,2",128
199,"-42,874730","-22,360470","9200,0","6,79","7,2",<1,"20,97","0,73","0,03","39,3",93
200,"-43,020950","-22,215250","790,0","7,61","8,15",3,"20,24","0,46","0,03","19,9",30
201,"-43,063360","-22,112720","5400,0","7,95","8,35",4,"21,41","0,58","0,02","26,7",38
202,"-42,953450","-22,166750","16000,0","7,62","7,54",3,"22,25","1,77","0,07","53,3",70
203,"-42,621440","-21,910970","1300,0","6,45","7,53",<1,"24,22","0,91","0,06",136,110
204,"-43,115240","-22,379240","160000,0","6,92","6,87",<1,"20,89","1,3","0,05","6,2",120
205,"-43,185850","-22,322990","790,0","6,32","7,18",4,"20,62","1,31","0,02","7,6",32
206,"-42,773500","-22,025760","16000,0","7,07","7,21",2,"24,67","1,23","0,06","91,2",93
207,"-42,861490","-22,281310","1300,0","7,29","7,27",1,"22,44","1,58","0,06","58,4",77
208,"-42,947240","-22,302650","5400,0","6,48","7,95",1,"21,22","0,46","0,02","16,3",32
209,"-42,816220","-22,305780","230,0","5,97","7,37",2,"21,33","0,42","0,01","4,4",60
210,"-42,790550","-22,142030","16000,0","6,49","6,78",<1,"21,95","2,17","0,05","48,6",122
211,"-42,679380","-22,053050","9200,0","6,59","8,01",<1,"22,6","1,33","0,07",145,98
212,"-43,128300","-22,308230","160000,0","7,57","5,57",4,"20,79","7,16","0,22","36,3",117
213,"-42,982850","-22,448160","330,0","6,17","7,95",<1,"16,61","0,35","0,01","2,5",83
214,"-42,733300","-22,263920","16000,0","6,86","7,07",2,"20,27","5,77","0,1",108,150
215,"-42,980380","-22,398490","160000,0","7,13","3,72",<1,"19,03","3,27","0,27","8,6",105
216,"-43,054960","-22,428650","230,0","6,21","8,19",<1,"16,53","0,8","0,01","1,8",60
217,"-43,188530","-22,520680","280000,0","6,98","2,15",12,"17,2","12,62","0,79","39,4",138
218,"-43,167930","-22,521510","33000,0","7,06","5,85",3,"15,71","25,18","0,36","24,5",68
219,"-43,149990","-22,496280","23000,0","7,17","6,91",4,"15,28","3,25","0,09","10,6",40
220,"-43,140261","-22,442240","1600000,0","7,34","4,18",12,"18,78","13,67","0,92","15,2",87
221,"-43,115720","-22,449350","1600000,0","7,03","5,54",12,"17,79","11,01","0,17","15,2",55
222,"-43,214170","-22,456230","7900,0","6,52","9,21",1,"14,45","10,06",,"3,2",36
223,"-43,238750","-22,428120","2300,0","7,21","8,78",2,"14,69","0,52","0,04","3,2",27
224,"-43,307690","-22,391550","2300,0","6,69","8,95",<1,"15,31","0,35","<0,01",6,25
225,"-43,115100","-22,395040","92000,0","6,85","7,52",11,"17,3","1,33","0,08","34,6",70
226,"-43,160450","-22,202850","24000,0","7,33","6,94",3,"18,17","0,58","<0,01","7,7",10
227,"-43,093000","-22,285650","230,0","7,19","8,87",3,"14,96","13,93","0,003","5,1",65
228,"-43,135650","-22,332860","1600000,0","7,02","8,73",4,"14,09","1,87","0,07","8,1",62
229,"-43,101290","-22,237850","1600000,0","7,37","2,61",54,"21,57","10,2","0,9","90,1",153
230,"-42,698470","-21,887860","1600000,0","7,35","7,98",8,"17,16","1,4","0,16","72,6",80
231,"-42,874730","-22,360470","540000,0","6,61","8,01",2,"15,26","0,56","0,02","3,8",10
232,"-43,020950","-22,215250","2300,0","6,25","8,21",7,"15,86","1,23","0,003","13,1",25
233,"-43,063360","-22,112720","4900,0","7,11","8,57",8,"16,46","0,49","<0,01",128,87
234,"-42,953450","-22,166750","2300,0","7,15","7,44",10,"17,54","2,85","0,12","71,8",90
235,"-42,621440","-21,910970","160000,0","7,34","9,11",1,"17,4","5,15","0,03","47,1",95
236,"-43,115240","-22,379240","92000,0","7,02","7,03",5,"16,5","7,72","0,06","10,6",105
237,"-43,185850","-22,322990","7900,0","6,84","7,06",8,"14,99","0,84","0,03",10,53
238,"-42,773500","-22,025760","920000,0","7,44","8,67",2,"18,21","1,03","0,03","27,3",40
239,"-42,861490","-22,281310","920000,0","7,18","8,86",5,"15,55","17,88","0,03","24,9",15
240,"-42,947240","-22,302650","1600000,0","6,71","8,6",2,"17,25","0,27","<0,01","58,1",13
