ID_,x_,y_,coliformes_termotolerantes,ph_,oxigenio_dissolvido,DBO_,temperatura_,nitrogenio_total,fosforo_total_,turbidez_,solidos_dissolvidos_totais
400,"-43,175696","-22,177414","1400,0","6,69","4,41",6,"25,4","1,9","0,15","30,4",62
401,"-43,143677","-22,126506","240,0","6,25","5,39",6,24,"1,6","0,13",35,48
402,"-43,214713","-22,512042","16000,0","7,11","3,17",9,"24,14","5,9","0,66",12,19
403,"-43,212466","-22,510962","160000,0","7,53","5,9",9,"21,1",12,"0,87","6,23",195
404,"-43,194048","-22,506651","160000,0","7,01","4,7",7,"21,7","7,2","0,66","5,52",132
405,"-43,191077","-22,503611","16000,0","7,67","2,9",7,"22,4","17,4","1,22","56,8",224
406,"-43,122150","-22,505673","49,0","6,91","6,03",4,"21,51","0,2",0,"1,2",4
407,"-43,149966","-22,495977","7900,0","6,4","3,78",6,22,"1,4",0,"6,31",27
408,"-43,152666","-22,488358","160000,0","6,25","5,66",17,"21,58","1,0","0,04","20,6",17
409,"-43,094538","-22,462521","160000,0","6,96","5,89",10,"19,23","0,5","0,02","12,33",8
410,"-43,115623","-22,449339","160000,0","6,25","5,66",17,"21,58","0,8","0,06","20,6",16
411,"-43,139756","-22,442199","160000,0","6,27","5,43",29,"20,67","0,9","0,17",78,19
412,"-43,214169","-22,456232","160000,0","7,5","6,3",3,"22,5","0,6","0,01","3,66",21
413,"-43,238753","-22,428119","160000,0","6,98","7,2",2,"22,4","0,4","0,01","2,31",22
414,"-43,163897","-22,427182","92000,0","6,3","6,1",6,23,"0,8","0,05","4,06",27
415,"-43,139279","-22,414841","160000,0","6,9","2,7",17,"24,7","7,8","0,42",37,129
416,"-43,054783","-22,429760","79,0","7,23","5,55",3,"20,58","0,5","0,01",24,7
417,"-43,115095","-22,395042","7900,0","7,59","3,24",31,"25,4","1,2","0,43",702,160
418,"-43,115240","-22,379240","16000,0","7,42","5,2",2,"25,1","1,3",,"10,57",77
419,"-43,135650","-22,332860","160000,0","6,86","4,89",5,26,"1,1","0,03","7,47",48
420,"-43,093000","-22,285652","1700,0","6,74","5,47",3,21,"1,4","0,02","10,39",36
421,"-43,101290","-22,237850","160000,0","6,54","2,49",15,23,"4,3","0,26","11,31",90
422,"-43,211069","-22,540816","240,0","6,15","3,9",3,"21,6","2,5","0,15","6,15",59
423,"-43,199256","-22,531514","160000,0","6,5","4,64",9,22,"7,3","0,51",24,112
424,"-43,188525","-22,520682","160000,0","6,15","4,1",6,"21,81","8,4","0,71","7,19",131
425,"-43,185556","-22,517413","92000,0","6,3","3,88",8,"22,33","5,4","0,63","7,3",137
426,"-43,183382","-22,516161","160000,0","6,55",5,5,"21,87","7,4","0,59","9,15",114
427,"-43,156632","-22,526488","1600,0","6,28","4,95",3,"20,4","0,3","0,01","3,69",11
428,"-43,169442","-22,522009","92000,0","6,45","2,95",6,"22,58","3,2","0,27","8,01",56
429,"-43,170854","-22,515430","160000,0","6,54","3,88",5,"23,43","6,3","0,5","10,75",97
430,"-43,172498","-22,514086","92000,0","6,6","3,86",14,"22,75","0,6","1,16","25,1",130
431,"-43,175656","-22,509450","160000,0","6,56","4,49",7,"22,15","7,1","0,54","9,88",120
432,"-42,983436","-22,448156","5400,0","7,6","6,36",6,"21,21","0,5","0,02","8,96",17
433,"-42,980376","-22,398489","7900,0","6,3","4,03",11,"29,1","9,6","1,25","10,47",148
434,"-42,947235","-22,302648","230,0","6,2","4,28",4,26,"0,5",,"9,59",27
435,"-42,874728","-22,360466","790,0","6,86","5,33",3,"23,62","0,6","0,03","9,51",36
436,"-42,816215","-22,305782","230,0","6,7","5,09",3,24,"0,4",,"11,82",33
437,"-42,733296","-22,263917","5400,0","7,65","3,11",6,"25,9","5,5","0,2","91,4",94
438,"-42,861494","-22,281308","1400,0","6,62","5,34",3,25,"1,5","0,05",42,43
439,"-42,917455","-22,249493","1700,0","6,27","5,41",3,25,"3,8","0,2","3,44",66
440,"-42,790554","-22,142032","54000,0","5,64","3,41",25,"25,4","2,0","0,12","126,3",51
441,"-42,953446","-22,166749","790,0","7,74","4,75",5,"24,6","2,3","0,1","21,8",56
442,"-43,020952","-22,215252","4900,0","7,48","4,83",12,"22,2","1,2","0,07",148,29
443,"-43,307691","-22,391550","540,0","5,76","4,09",8,"22,5","1,6",,"17,9",25
444,"-43,185854","-22,322988","1300,0","6,84","5,94",3,22,"0,5","0,03","19,76",14
445,"-43,162717","-22,231922","1300,0","6,91","4,37",13,"22,49","0,8",,"138,2",45
446,"-42,621440","-21,910970","92000,0","6,71","5,42",14,"25,1","1,9","0,39",27,47
447,"-42,679379","-22,053046","2800,0","7,64","4,28",8,26,"1,6","0,05","51,5",54
448,"-42,773504","-22,025760","54000,0","6,7","4,57",15,25,"1,2","0,25",291,37
449,"-42,698471","-21,887862","24000,0","6,45","5,9",14,26,"0,8","0,04",28,40
450,"-43,063363","-22,112715","16000,0","7,2","4,1",15,"23,9","0,8","0,02","25,6",50
451,"-43,008326","-22,192819","5400,0",7,"5,84",2,"26,7","2,2","0,09","0,7",61
452,"-42,956060","-22,231615","49,0","5,66","6,06",2,"20,54","0,2",,"0,1",14
453,"-42,907600","-22,168358","1,8","6,33","5,6",5,"21,37","0,5","1,8","0,13",27
454,"-42,885669","-22,187904","1400,0","6,19","6,08",6,"24,26","0,26","1,5",101,67
455,"-42,787500","-22,337449","23,0","7,39","6,15",9,26,"1,3","0,01","1,96",10
456,"-43,089590","-22,286322","130,0","7,2","6,7",3,27,"0,5",,"7,14",13
457,"-42,949102","-22,450109","49,0","8,16","6,15",5,"19,4","0,3",,"0,1",8
458,"-42,949163","-22,450588","79,0","8,02","6,11",4,"19,5","0,3",,"0,1",9
459,"-42,949366","-22,449372","130,0","8,16","6,15",3,"19,4","0,5",,"0,1",18
460,"-43,124225","-22,360173","23,0","7,35","2,1",3,29,"1,2","0,06","38,4",146
461,"-43,203585","-22,477103","49,0","6,8","6,95",5,19,"0,3",,"0,94", 10 
462,"-43,192264","-22,507109",54000,"7,1","5,65",9,"22,4","3,7","0,3","8,56",82
463,"-43,177401","-22,488937",92000,"7,06","5,57",13,23,"3,9","0,27","9,8",82
464,"-43,151594","-22,474022","92000,0","7,52","5,8",15,"23,3","2,8","0,20","6,71",70
465,"-43,146821","-22,464186","160000,0","7,28","6,6",9,"22,9","2,7","0,22","4,51",57
466,"-43,143104","-22,457097","160000,0","5,0",59,13,"23,2","2,7","0,19","2,87",59
467,"-43,140300","-22,442182","160000,0","6,99","5,7",5,"22,6","3,1","0,2","7,23",62
468,"-43,132677","-22,423199","170,0","6,84","5,6",6,"22,8","2,2","0,18","7,89",55
469,"-43,135284","-22,403151","160000,0","6,64","4,98",7,"21,8","1,2","0,09","8,38",144
470,"-43,133380","-22,385640","9200,0","6,89","5,4",3,"23,5",1,"0,08","26,8",34
471,"-43,131041","-22,379071","160000,0","6,75","5,81",7,"22,9","1,4","0,10","8,1",45
472,"-43,076507","-22,255282","5400,0","7,2","6,4",9,"21,9","1,4","0,11","24,7",44
473,"-43,104233","-22,231577","2400,0","7,26","5,15",3,"23,1","1,2","0,10","45,4",122
474,"-43,175696","-22,177414","5400,0","7,07","6,09",9,"24,9","1,0","0,10","47,9",38
475,"-43,143677","-22,126506","5400,0","7,11","6,54",8,"24,5","1,0","0,09","44,3",128
476,"-43,214713","-22,512042",">160000,0","7,05",3,8,24,"20,9","1,28","16,63",150
477,"-43,212466","-22,510962",">160000,0","7,09","4,98",10,"23,94","16,9","1,19","14,07",147
478,"-43,194048","-22,506651",">160000,0","6,55","5,11",5,"23,28","7,9","0,46","9,06",101
479,"-43,191077","-22,503611",">160000,0","7,08","5,48",11,"23,3","24,4","1,37","9,71",165
480,"-43,122150","-22,505673","240,0","7,2","5,25",5,"22,9","1,0","0,03","5,5",11
481,"-43,149986","-22,495977","5400,0","6,64","6,98",5,"21,4","1,0","0,03","8,2",26
482,"-43,152666","-22,488358","79,0","6,91","6,75",5,"21,6","1,3","0,03","4,35",18
483,"-43,094538","-22,462521","160000,0","6,44","6,9",6,"21,81","1,2","1,2","1,68",12
484,"-43,115623","-22,449339","16000,0",7,"6,98",3,"21,2","0,9","0,03","2,15",106
485,"-43,139756","-22,442199","240,0","6,98","6,59",4,"22,4","1,1","0,03","6,61",21
486,"-43,214169","-22,456232",">160000,0","5,99","5,7",6,"22,79","1,3","0,19",245,27
487,"-43,238753","-22,428119",">160000,0","6,25","6,25",6,"21,5","0,6","0,02","9,02",18
488,"-43,163897","-22,427182","92000,0","6,24","6,21",34,"23,29","1,5","0,08",311,32
489,"-43,139279","-22,414841",">160000,0","6,34","4,5",51,"24,48","6,2","0,56","185,3",84
490,"-43,054783","-22,429760","78,0","7,58","6,64",7,"21,12","0,5",,"4,21",12
491,"-43,115095","-22,395042","240,0","7,39","6,44",19,"24,49","0,7","0,02","33,51",24
492,"-43,115240","-22,379240",">160000,0","7,59","5,82",16,"24,7","1,4","0,04","28,74",74
493,"-43,135650","-22,332860",">160000,0","8,46","6,3",3,"23,3","1,0","0,02","31,25",78
494,"-43,093000","-22,285652","9200,0","7,28","6,72",3,"21,8","1,1","0,02","2,6",124
495,"-43,101290","-22,237850","160000,0","7,05","3,95",14,"24,3","3,0","0,03","34,6",154
496,"-43,211069","-22,540816","490,0","7,17","5,41",3,"19,96","1,4","0,09","8,36",42
497,"-43,199256","-22,531514","23,0","7,14","5,22",7,"20,4","3,3","0,21","12,9",69
498,"-43,188525","-22,520682","940,0","7,25","5,86",3,"20,74","3,7","0,29","11,3",84
499,"-43,185556","-22,517413","<1,8","7,22","5,72",34,"20,83","4,2","0,24","14,3",83
500,"-43,183382","-22,516161","<1,8","7,31","5,71",4,"20,78","3,3","0,27","10,5",81
501,"-43,156632","-22,526488","<1,8","6,85","7,65",3,"18,41","0,8","0,06","0,48",31
502,"-43,169442","-22,522009","790,0","7,39","5,5",5,"20,1","0,3",,"3,1",7
503,"-43,170854","-22,515430","49,0","7,65","6,1",6,"19,77","1,7","0,12","6,77",39
504,"-43,172498","-22,514086","3500,0","7,14","5,81",8,"20,21","3,9","0,32","6,69",65
505,"-43,175656","-22,509450","490,0","7,45","5,8",3,"20,69","3,8","0,23","7,96",70
506,"-42,983436","-22,448156","230,0","7,52","6,93",10,"20,8","0,8",,"23,72",4
507,"-42,980376","-22,398489","45,0","7,31","5,56",14,"24,33","0,8","0,21","24,8",78
508,"-42,947235","-22,302648",">160000,0","7,32","6,47",5,"25,15","0,6","0,01","34,27",22
509,"-42,874728","-22,360466",">160000,0","6,95","6,91",10,"23,28","0,8","0,06","37,86",2
510,"-42,816215","-22,305782","23,0","7,15","7,02",12,"23,51","0,8","0,01","32,87",4
511,"-42,733296","-22,263917","140,0","6,81","3,22",11,"24,8","3,0","0,11",213,62
512,"-42,861494","-22,281308","16000,0","7,3","6,99",25,"23,7","0,9","0,06","44,82",12
513,"-42,917455","-22,249493","2800,0","7,09","6,45",7,"24,14","1,0","0,09","33,52",14
514,"-42,790554","-22,142032","3500,0","6,49","5,12",4,22,"3,9","0,06","90,8",122
515,"-42,953446","-22,166749",">160000,0","7,93","4,42",18,"26,33","3,9","0,16","27,8",46
516,"-43,020952","-22,215252",35000,"6,57","5,9",5,"23,86","1,7","0,12","39,2",28
517,"-43,307691","-22,391550",1600,"6,9","6,21",<1,"22,13","0,6","0,05","21,7",19
518,"-43,185854","-22,322988",9200,"7,14","6,17",8,"26,5","0,4","0,02","13,9",22
519,"-43,162717","-22,231922","2400,0","6,55","4,59",3,"21,9","0,3","0,01","12,76",38
520,"-42,621440","-21,910970","2800,0","7,43","4,26",43,25,"1,1","0,18","<0,1",32
521,"-42,679379","-22,053046","9200,0","7,33","3,76",44,"26,3","1,0","0,11",790,38
522,"-42,773504","-22,025760","9200,0","6,71","5,27",41,"24,96","1,1","0,45",981,38
523,"-42,698471","-21,887862","16000,0","7,2","3,71",16,"27,3","1,4","0,09",230,6
524,"-43,063363","-22,112715","2800,0","6,72","3,98",26,"22,3","0,8","0,08",569,30
525,"-43,203585","-22,477103","230,0","7,19","5,48",2,"18,3","0,2",,"<0,1",38
526,"-43,192264","-22,507109",">160000,0","7,03","2,93",6,"22,9","6,9","0,4","12,03","7,5"
527,"-43,177401","-22,488937",">160000,0","6,93","4,25",12,"24,1","6,3","0,54",57,116
528,"-43,151594","-22,474022",">160000,0","7,07","3,74",9,"23,8","5,2",155,"5,42",78
529,"-43,146821","-22,464186",">160000,0","6,92","3,2",12,24,"5,3","0,34","6,77",98
530,"-43,143104","-22,457097",">160000,0","6,86","3,35",11,"23,1","6,2","0,33","3,52",76
531,"-43,140300","-22,442182",">160000,0",7,"2,95",12,"23,6","5,2","0,42","5,18",84
532,"-43,132677","-22,423199",">160000,0","6,69","3,29",21,"22,5",6,"0,32","3,96",80
533,"-43,135284","-22,403151",">1600000,0","6,48","4,45",6,"21,1","3,1","0,18","1,66",60
534,"-43,133380","-22,385640",">160000,0","6,81","3,37",6,"20,8","1,7","0,07","2,06",35
535,"-43,131041","-22,379071",13000,"7,23","3,53",6,"20,6",3,"0,17","9,32",53
536,"-43,076507","-22,255282",54000,"7,09","5,12",3,22,"3,8","0,31","10,73",60
537,"-43,104233","-22,231577",9200,"6,59","5,18",5,24,"2,9","0,16","14,51",52
538,"-43,175696","-22,177414",1300,"6,86","5,32",4,25,"1,8","0,11","7,14",108
539,"-43,143677","-22,126506",">160000,0","7,86","5,14",7,"21,1","3,8",,"23,5",99
540,"-43,214713","-22,512042",">160000,0","7,5","4,2",18,"22,7","18,8","1,31","20,4",197
541,"-43,212466","-22,510962",">160000,0","7,42","4,51",15,"23,05","14,8","1,21","5,31",122
542,"-43,194048","-22,506651",">160000,0","7,28","4,42",9,"21,45","7,6","0,43","2,89",100
543,"-43,191077","-22,503611",">160000,0","7,24","5,1",9,"20,8","8,8","0,28","4,35",92
544,"-43,122150","-22,505673",130,"7,2","6,24",7,"17,64","0,4",,"1,95",14
545,"-43,149986","-22,495977",35000,"5,92","6,1",2,"21,2","7,6","0,06","<0,1",23
546,"-43,152666","-22,488358",">160000,0","6,23","5,56",8,"22,1",2,"0,12","4,36",28
547,"-43,094538","-22,462521",490,"6,3","6,06",3,"18,3","4,8","0,04","<0,1",8
548,"-43,115623","-22,449339",">160000,0","6,15","5,35",4,21,5,"0,07","3,08",27
549,"-43,139756","-22,442199",490,"6,86","4,42",4,"21,4","10,9","0,06","2,98",178
550,"-43,214169","-22,456232",">160000,0","6,98","6,58",6,"20,12","0,6",,"1,89",22
551,"-43,238753","-22,428119",">160000,0","6,99","5,98",7,"20,4","0,5",,"4,16",20
552,"-43,163897","-22,427182",">160000,0","7,4","6,01",6,"20,9","1,6",,"2,95",31
553,"-43,139279","-22,414841",">160000,0","6,88","4,57",19,23,"12,5","0,57","18,02",132
554,"-43,054783","-22,429760",27,"6,41",5,3,"19,4","0,5",,"1,22",11
555,"-43,115095","-22,395042",5400,"6,93","4,1",5,23,"1,1",,"4,7",26
556,"-43,115240","-22,379240",2400,"6,8",4,3,"21,8","1,7",,"3,92",57
557,"-43,135650","-22,332860",92000,"8,4","5,57",6,"19,3","1,4",,"2,6",142
558,"-43,093000","-22,285652",5400,"8,41","5,79",3,22,"2,1","0,07","4,79",32
559,"-43,101290","-22,237850",">160000,0","6,71","4,35",27,23,"7,4","0,35","69,8",177
560,"-43,211069","-22,540816",">160000,0","7,76","3,91",3,26,2,"0,16","3,25",50
561,"-43,199256","-22,531514",">160000,0","6,66","1,44",13,26,"6,2","0,66","6,81",116
562,"-43,188525","-22,520682",">160000,0","6,5","0,84",68,29,"11,4","1,13",153,153
563,"-43,185556","-22,517413",16000,"6,51","1,15",43,"23,51",8,"0,93",602,143
564,"-43,183382","-22,516161",">160000,0","6,83","2,81",4,29,"10,4","0,75","34,9",128
565,"-43,156632","-22,526488",13000,"7,35","4,39",4,29,"0,5","0,02","1,35",10
566,"-43,169442","-22,522009",">160000,0","6,75","2,46",4,29,"4,3","0,26","1,25",64
567,"-43,170854","-22,515430",">160000,0","6,51","2,55",10,29,"4,7","0,48","1,45",114
568,"-43,172498","-22,514086",">160000,0","6,72","2,64",14,29,"16,3","1,1","6,67",168
569,"-43,175656","-22,509450",">160000,0","6,85","2,54",20,29,"10,8","0,74","95,2",131
570,"-42,983436","-22,448156","240,0","6,72","4,8",3,"20,8","0,6",,"1,83",17
571,"-42,980376","-22,398489","24000,0","6,71","2,1",9,"23,2","14,4","0,82","10,6",123
572,"-42,947235","-22,302648","4900,0","7,55","5,61",3,"28,2","0,3",,"0,25",29
573,"-42,874728","-22,360466","1600,0","8,7","3,91",3,"22,1","0,5",,"6,22",28
574,"-42,816215","-22,305782","3300,0","7,65","5,15",5,27,"0,5",,"6,85",21
575,"-42,733296","-22,263917",">160000,0","7,2","5,31",5,"21,7","8,8","0,19","118,6",100
576,"-42,861494","-22,281308","7900,0","7,42","5,81",5,"28,2","1,9",,"8,42",52
577,"-42,917455","-22,249493","1400,0","7,28","4,3",5,"23,2",3,"0,23","5,99",58
578,"-42,790554","-22,142032","13000,0","6,54","4,39",8,"21,2","1,4","0,03","17,2",54
579,"-42,953446","-22,166749","54000,0","7,44","6,53",5,21,"3,1",,"42,4",18
580,"-43,020952","-22,215252","1400,0","7,81","6,0",14,"21,6","0,5",,"54,9",42
581,"-43,307691","-22,391550","540,0","7,81","6,31",3,"20,2","0,9",,"3,52",24
582,"-43,185854","-22,322988","790,0","7,91","5,68",5,28,"0,8",,"4,9",30
583,"-43,162717","-22,231922","130,0","7,08","6,27",5,22,"0,4",,"1,41","45,89"
584,"-42,621440","-21,910970","13000,0","5,61","7,18",12,27,"1,6",,"54,9",47
585,"-42,679379","-22,053046","16000,0","7,32","6,02",5,"19,62","1,8",,"21,5","59,84"
586,"-42,773504","-22,025760",160000,"7,6","6,53",3,27,"1,5",,"22,2",48
587,"-42,698471","-21,887862",">160000,0","7,51","4,11",6,27,"1,3",,"15,21",53
588,"-43,063363","-22,112715","54000,0","7,66","6,86",5,"21,8","0,7",,"9,77",77
589,"-43,084307","-22,287008","140,0","7,32","6,81",3,"16,38","0,4",,"3,37","20,13"
590,"-42,844494","-21,954061","4900,0","7,44",50,3,"26,9","0,4",,"8,93",35
591,"-42,845852","-21,969947","540,0","7,49","6,74",5,"18,48","0,3",,"2,94","39,35"
592,"-43,129481","-22,419944","92000,0","7,18","3,7",7,"24,7","7,2","0,25","83,9",120
593,"-43,211865","-22,529946",">160000,0","7,55","3,5",23,"22,1","18,9","1,21","32,3",181
594,"-43,193494","-22,507001",">160000,0","8,04","3,2",23,"23,1",5,"0,42",155,95
595,"-43,100877","-22,147141","490,0","7,35","6,2",3,"21,43","4,7","0,11","3,78",151
596,"-43,078633","-22,106336","4900,0","7,23","6,13",8,"21,96","3,5",,"1,93",109
597,"-43,008661","-22,094848","2300,0","7,73","6,5",3,"22,56","0,6",,"9,49",45
598,"-43,075202","-22,100108","230,0","7,53","6,89",3,"22,73","0,7",,"2,72",51
599,"-43,203585","-22,477103","23,0","8,02",6,4,"16,6","0,3","0,05","1,4","15,64"
600,"-43,192264","-22,507109",">160000,0","7,7","4,08",10,"19,9","7,1","0,72",11,"109,48"
601,"-43,177401","-22,488937",">160000,0","7,65",4,10,"20,4","10,5","0,82","4,9","212,16"
602,"-43,151594","-22,474022",">160000,0","8,25","6,81",4,19,"21,7","1,06","4,6","222,97"
603,"-43,146821","-22,464186",">160000,0","8,05","6,59",5,"18,5","11,2",1,"6,2","264,52"
604,"-43,143104","-22,457097",">160000,0","7,94","6,3",6,"18,5","22,2","1,12","6,4","232,56"
605,"-43,140300","-22,442182",">160000,0","7,68","5,77",9,"18,3",11,"1,04",7,"180,88"
606,"-43,132677","-22,423199","9200,0","7,51","4,96",8,"17,6","11,2","0,99","4,6","225,08"
607,"-43,135284","-22,403151","16000,0","7,15","3,66",12,"17,4","11,9","0,61","4,3","155,38"
608,"-43,133380","-22,385640","16000,0","7,29","6,57",4,"15,6","2,9","0,18","4,4","65,28"
609,"-43,131041","-22,379071","5400,0","7,06","2,36",7,"17,4",7,"0,52","4,6","133,82"
610,"-43,076507","-22,255282","2300,0","6,94","4,42",6,"18,1","9,2","0,3","3,3","113,76"
611,"-43,104233","-22,231577","4900,0","6,86","4,64",6,"21,9","4,8","0,11","3,6","88,94"
612,"-43,175696","-22,177414","2300,0","6,73","4,29",5,"19,6","5,1","0,1","3,4","69,7"
613,"-43,143677","-22,126506","790,0","6,92","4,55",6,"24,2","5,1","0,14","4,3","76,09"
614,"-43,214713","-22,512042",">160000,0","7,52","4,2",6,"19,04","17,6","1,45","8,93","297,16"
615,"-43,212466","-22,510962",">160000,0","7,54","5,1",9,"18,91","13,1","1,24","8,31","234,6"
616,"-43,195781","-22,506039",">160000,0","7,25","5,1",10,"18,55","7,9","0,57","4,75","131,92"
617,"-43,191077","-22,503611",">160000,0","7,35","4,97",17,"18,77","23,7","0,95","4,22","174,76"
618,"-43,122150","-22,505673","940,0","7,54","5,34",5,"16,5","2,2",,"<0,1","32,98"
619,"-43,149986","-22,495977",">160000,0","8,16","4,68",6,19,"4,1","0,08","1,6","55,77"
620,"-43,152666","-22,488358",">160000,0","7,57","4,08",9,"19,3","7,1","0,31","1,2","79,42"
621,"-43,094538","-22,462521","23,0","7,87","4,7",5,17,"1,2",,"0,7","14,49"
622,"-43,115623","-22,449339",">160000,0","7,29","3,84",6,"18,5",6,"0,19","1,6","64,44"
623,"-43,139326","-22,442355",">160000,0","5,85","3,89",41,"18,3","9,9","0,66","8,6","112,61"
624,"-43,214169","-22,456232","5400,0","7,81","6,98",2,"17,23","1,2",,"<0,1","26,52"
625,"-43,238753","-22,428119","5400,0","7,33","6,57",4,"16,68","0,8",,"<0,1","22,44"
626,"-43,163897","-22,427182",">160000,0","7,41","6,75",5,"16,63","1,6",,"<0,1","37,4"
627,"-43,139279","-22,414841",">160000,0","7,09","5,15",7,"19,49","11,4","0,73","16,29","215,56"
628,"-43,054783","-22,429760","790,0","7,12","5,7",5,"15,81","2,9",,"1,1","17,61"
629,"-43,115095","-22,395042","16000,0","6,4","5,47",4,"18,94","3,1",,"6,66","41,12"
630,"-43,115240","-22,379240",">160000,0","6,4","5,37",2,"18,12",3,,"6,4","74,26"
631,"-43,135650","-22,332860","16000,0","6,53","5,4",7,"17,79","1,3",,"2,55","45,27"
632,"-43,093000","-22,285652","490,0","7,57","5,2",5,"18,2",4,,"4,06","43,5"
633,"-43,101290","-22,237850",">160000,0","8,14","4,91",33,21,"6,4","0,7","19,6",194
634,"-43,211069","-22,540816","16000,0","7,89","4,69",6,"17,69","7,4","0,3","2,27","90,44"
635,"-43,199256","-22,531514","2400,0","7,39","4,3",8,"18,74","11,2",1,"17,3","170,68"
636,"-43,188525","-22,520682",">160000,0","7,5","4,1",27,"19,57","12,4","1,06","12,3","185,64"
637,"-43,185556","-22,517413",">160000,0","7,52","3,59",12,"19,46","12,1","1,05","9,48","185,64"
638,"-43,183382","-22,516161","16000,0","7,51","5,15",7,"18,94","10,5","0,78","9,45","161,16"
639,"-43,156632","-22,526488","94,0","7,95","5,7",2,"16,49","1,9","0,03","0,65","39,44"
640,"-43,169442","-22,522009",">160000,0","7,58","6,05",10,"19,64","10,4","0,75","2,92","246,16"
641,"-43,170854","-22,515430",">160000,0","7,52","3,55",18,"19,69","14,9","1,19","10,1","257,72"
642,"-43,172498","-22,514086",">160000,0","7,76","5,32",15,"20,45","26,8","2,07","9,39","376,72"
643,"-43,175656","-22,509450",">160000,0","7,78","4,35",18,"21,07","23,4","1,68","7,07","321,64"
644,"-42,983436","-22,448156","1400,0","6,8","5,93",5,"16,8","2,3",,"1,15","25,61"
645,"-42,980376","-22,398489",">160000,0","6,47","2,69",47,20,"22,8","1,02","24,2","205,97"
646,"-42,947235","-22,302648",">160000,0","7,32","4,79",8,"17,54","0,6",,"3,1","28,7"
647,"-42,874728","-22,360466","230,0","7,57","6,87",5,"17,8","1,3",,"1,44","45,44"
648,"-42,861494","-22,281308","<1,8","7,76","6,42",4,"17,8","2,3",,"<0,1","26,76"
649,"-42,733296","-22,263917",">160000,0",7,"5,74",4,"18,7","8,5","0,11","28,2","94,52"
650,"-42,861494","-22,281308","<1,8","7,62","6,83",5,"17,6","3,2",,"<0,1","62,8"
651,"-42,917455","-22,249493","1400,0","7,55","5,64",5,"17,96","8,4","0,23","2,96","99,89"
652,"-42,790554","-22,142032","230,0","7,6","6,17",3,"18,6",3,"0,12","2,24","57,8"
653,"-42,953446","-22,166749","94,0","7,27","6,09",4,"17,8","4,9",,"0,7","82,76"
654,"-43,020952","-22,215252","230,0","7,86","6,01",5,"16,8",1,,"3,84","28,74"
655,"-43,307681","-22,391550","230,0","7,2","4,29",5,"17,3","0,6",,"1,4","29,25"
656,"-43,185854","-22,322988","2200,0","6,82","4,14",3,22,"1,4",,"2,7","38,24"
657,"-43,162717","-22,231922","13,0","7,6","6,45",5,"19,1","0,4",,"7,13","21,15"
658,"-42,621440","-21,910970","9200,0","7,02","5,98",6,"22,1","1,8","0,03","15,68","50,32"
659,"-42,679379","-22,053046","2400,0","6,99","6,12",4,"20,4","2,2","0,02","15,46","47,6"
660,"-42,773504","-22,025760",">160000,0","7,04","6,1",4,"21,9","2,5","0,04","11,4","44,2"
661,"-42,698471","-21,887862",">160000,0","6,8","5,9",5,"21,9","1,8","0,07","8,81","53,72"
662,"-43,063363","-22,112715","94,0","7,7","6,92",11,"16,1","1,1",,"3,8","47,64"
