ID,Nome Cientifico na Base de Dados,Nivel Taxonomico,Filo,Familia,Ordemmm,Genero,Especie,Latitude,Longitude
185,Corydoras nattereri,Especie,Chordata,Callichthyidae,Siluriformes,Corydoras,Corydoras nattereri,"-2,248,583,412","-426,594,429"
186,Crenicichla britskii,Especie,Chordata,Cichlidae,Cichliformes,Crenicichla,Crenicichla britskii,"-2,252,861,111","-4,456,916,667"
187,Crenicichla britskii,Especie,Chordata,Cichlidae,Cichliformes,Crenicichla,Crenicichla britskii,"-2,252,861,111","-4,456,916,667"
188,Crenicichla lacustris,Especie,Chordata,Cichlidae,Cichliformes,Crenicichla,Crenicichla lacustris,"-2,113,333,321","-4,168,333,435"
189,Crenicichla lacustris,Especie,Chordata,Cichlidae,Cichliformes,Crenicichla,Crenicichla lacustris,"-2,238,638,878","-4,212,194,443"
190,Cyphocharax gilbert,Especie,Chordata,Curimatidae,Characiformes,Cyphocharax,Cyphocharax gilbert,"-2,288,333,333","-4,378,333,333"
191,Cyphocharax gilbert,Especie,Chordata,Curimatidae,Characiformes,Cyphocharax,Cyphocharax gilbert,"-2,138,277,817","-411,827,774"
192,Deuterodon giton,Especie,Chordata,Characidae,Characiformes,Deuterodon,Deuterodon giton,-22.75,"-4,345,000,076"
193,Deuterodon hastatus,Especie,Chordata,Characidae,Characiformes,Deuterodon,Deuterodon hastatus,"-2,245,833,333","-426,525"
194,Deuterodon luetkenii,Especie,Chordata,Characidae,Characiformes,Deuterodon,Deuterodon luetkenii,"-2,248,583,412","-426,594,429"
195,Deuterodon luetkenii,Especie,Chordata,Characidae,Characiformes,Deuterodon,Deuterodon luetkenii,"-2,251,611,137","-4,232,222,366"
196,Deuterodon luetkenii,Especie,Chordata,Characidae,Characiformes,Deuterodon,Deuterodon luetkenii,"-2,238,638,878","-4,212,194,443"
197,Deuterodon luetkenii,Especie,Chordata,Characidae,Characiformes,Deuterodon,Deuterodon luetkenii,"-2,130,611,038","-4,114,527,893"
198,Deuterodon luetkenii,Especie,Chordata,Characidae,Characiformes,Deuterodon,Deuterodon luetkenii,"-2,138,277,817","-411,827,774"
199,Deuterodon luetkenii,Especie,Chordata,Characidae,Characiformes,Deuterodon,Deuterodon luetkenii,"-2,211,111,069","-4,164,083,481"
200,Deuterodon luetkenii,Especie,Chordata,Characidae,Characiformes,Deuterodon,Deuterodon luetkenii,"-2,211,111,069","-4,164,083,481"
201,Deuterodon taeniatus,Especie,Chordata,Characidae,Characiformes,Deuterodon,Deuterodon taeniatus,-22.65,"-4,238,333,333"
202,Deuterodon taeniatus,Especie,Chordata,Characidae,Characiformes,Deuterodon,Deuterodon taeniatus,"-2,257,277,778","-4,341,833,333"
203,Eleotris pisonis,Especie,Chordata,Eleotridae,Gobiiformes,Eleotris,Eleotris pisonis,"-2,307,638,931","-4,469,749,832"
204,Genidens genidens,Especie,Chordata,Ariidae,Siluriformes,Genidens,Genidens genidens,"-2,298,333,359","-4,340,000,153"
205,Genidens genidens,Especie,Chordata,Ariidae,Siluriformes,Genidens,Genidens genidens,"-2,298,333,359","-4,340,000,153"
206,Geophagus brasiliensis,Especie,Chordata,Cichlidae,Cichliformes,Geophagus,Geophagus brasiliensis,"-2,304,139","-4,469,389"
207,Geophagus brasiliensis,Especie,Chordata,Cichlidae,Cichliformes,Geophagus,Geophagus brasiliensis,"-2,298,333,359","-4,340,000,153"
208,Geophagus brasiliensis,Especie,Chordata,Cichlidae,Cichliformes,Geophagus,Geophagus brasiliensis,"-2,298,333,359","-4,340,000,153"
209,Geophagus brasiliensis,Especie,Chordata,Cichlidae,Cichliformes,Geophagus,Geophagus brasiliensis,"-2,263,333,321","-4,390,000,153"
210,Geophagus brasiliensis,Especie,Chordata,Cichlidae,Cichliformes,Geophagus,Geophagus brasiliensis,"-2,183,333,397","-4,256,666,565"
211,Geophagus brasiliensis,Especie,Chordata,Cichlidae,Cichliformes,Geophagus,Geophagus brasiliensis,"-2,191,666,603","-4,270,000,076"
212,Geophagus brasiliensis,Especie,Chordata,Cichlidae,Cichliformes,Geophagus,Geophagus brasiliensis,"-2,248,583,412","-426,594,429"
213,Geophagus brasiliensis,Especie,Chordata,Cichlidae,Cichliformes,Geophagus,Geophagus brasiliensis,"-2,223,749,924","-4,209,444,427"
214,Geophagus brasiliensis,Especie,Chordata,Cichlidae,Cichliformes,Geophagus,Geophagus brasiliensis,"-2,304,138,947","-4,469,388,962"
215,Geophagus brasiliensis,Especie,Chordata,Cichlidae,Cichliformes,Geophagus,Geophagus brasiliensis,"-2,332,916,641","-446,819,458"
216,Geophagus brasiliensis,Especie,Chordata,Cichlidae,Cichliformes,Geophagus,Geophagus brasiliensis,"-2,329,777,718","-4,471,027,756"
217,Geophagus brasiliensis,Especie,Chordata,Cichlidae,Cichliformes,Geophagus,Geophagus brasiliensis,"-2,307,638,931","-4,469,749,832"
218,Geophagus brasiliensis,Especie,Chordata,Cichlidae,Cichliformes,Geophagus,Geophagus brasiliensis,"-2,130,611,038","-4,114,527,893"
219,Geophagus brasiliensis,Especie,Chordata,Cichlidae,Cichliformes,Geophagus,Geophagus brasiliensis,"-2,138,277,817","-411,827,774"
220,Geophagus brasiliensis,Especie,Chordata,Cichlidae,Cichliformes,Geophagus,Geophagus brasiliensis,"-2,243,416,667","-4,325,555,556"
221,Geophagus brasiliensis,Especie,Chordata,Cichlidae,Cichliformes,Geophagus,Geophagus brasiliensis,"-2,260,916,667","-4,356,888,889"
222,Gymnotus pantherinus,Especie,Chordata,Gymnotidae,Gymnotiformes,Gymnotus,Gymnotus pantherinus,"-2,235,222,244","-4,230,250,168"
223,Gymnotus pantherinus,Especie,Chordata,Gymnotidae,Gymnotiformes,Gymnotus,Gymnotus pantherinus,"-2,245,111,084","-4,264,888,763"
224,Gymnotus pantherinus,Especie,Chordata,Gymnotidae,Gymnotiformes,Gymnotus,Gymnotus pantherinus,"-2,224,277,687","-4,210,499,954"
225,Gymnotus pantherinus,Especie,Chordata,Gymnotidae,Gymnotiformes,Gymnotus,Gymnotus pantherinus,"-2,304,138,947","-4,469,388,962"
226,Gymnotus pantherinus,Especie,Chordata,Gymnotidae,Gymnotiformes,Gymnotus,Gymnotus pantherinus,"-2,294,694,519","-4,432,083,511"
227,Gymnotus pantherinus,Especie,Chordata,Gymnotidae,Gymnotiformes,Gymnotus,Gymnotus pantherinus,"-2,322,361,183","-4,476,388,931"
228,Gymnotus pantherinus,Especie,Chordata,Gymnotidae,Gymnotiformes,Gymnotus,Gymnotus pantherinus,"-2,248,222,222","-4,339,055,556"
229,Harttia loricariformis,Especie,Chordata,Loricariidae,Siluriformes,Harttia,Harttia loricariformis,"-2,246,666,718","-4,381,666,565"
230,Hemipsilichthys nimius,Especie,Chordata,Loricariidae,Siluriformes,Hemipsilichthys,Hemipsilichthys nimius,"-2,304,138,947","-4,469,277,954"
231,Hemipsilichthys nimius,Especie,Chordata,Loricariidae,Siluriformes,Hemipsilichthys,Hemipsilichthys nimius,"-2,321,416,664","-4,479,111,099"
232,Hemipsilichthys nimius,Especie,Chordata,Loricariidae,Siluriformes,Hemipsilichthys,Hemipsilichthys nimius,"-2,321,416,664","-4,479,111,099"
233,Hemipsilichthys nimius,Especie,Chordata,Loricariidae,Siluriformes,Hemipsilichthys,Hemipsilichthys nimius,"-2,320,916,748","-4,479,388,809"
234,Hemipsilichthys nimius,Especie,Chordata,Loricariidae,Siluriformes,Hemipsilichthys,Hemipsilichthys nimius,"-2,331,305,504","-4,476,555,634"
235,Hisonotus notatus,Especie,Chordata,Loricariidae,Siluriformes,Hisonotus,Hisonotus notatus,"-2,248,583,412","-426,594,429"
236,Hisonotus thayeri,Especie,Chordata,Loricariidae,Siluriformes,Hisonotus,Hisonotus thayeri,"-2,238,638,878","-4,212,194,443"
237,Hisonotus thayeri,Especie,Chordata,Loricariidae,Siluriformes,Hisonotus,Hisonotus thayeri,"-2,251,611,137","-4,232,222,366"
238,Hisonotus thayeri,Especie,Chordata,Loricariidae,Siluriformes,Hisonotus,Hisonotus thayeri,-22.25,"-4,196,666,718"
239,Homodiaetus banguela,Especie,Chordata,Trichomycteridae,Siluriformes,Homodiaetus,Homodiaetus banguela,"-2,253,333,282","-4,233,333,206"
240,Homodiaetus banguela,Especie,Chordata,Trichomycteridae,Siluriformes,Homodiaetus,Homodiaetus banguela,"-2,253,333,282","-4,233,333,206"
241,Homodiaetus passarellii,Especie,Chordata,Trichomycteridae,Siluriformes,Homodiaetus,Homodiaetus passarellii,"-2,248,333,359","-4,265,000,153"
242,Hoplias malabaricus,Especie,Chordata,Erythrinidae,Characiformes,Hoplias,Hoplias malabaricus,"-2,263,333,321","-4,390,000,153"
243,Hoplias malabaricus,Especie,Chordata,Erythrinidae,Characiformes,Hoplias,Hoplias malabaricus,"-2,130,611,038","-4,114,527,893"
244,Hoplias malabaricus,Especie,Chordata,Erythrinidae,Characiformes,Hoplias,Hoplias malabaricus,"-2,260,916,667","-4,356,888,889"
245,Hyphessobrycon bifasciatus,Especie,Chordata,Characidae,Characiformes,Hyphessobrycon,Hyphessobrycon bifasciatus,"-2,211,111,069","-4,164,083,481"
246,Hyphessobrycon bifasciatus,Especie,Chordata,Characidae,Characiformes,Hyphessobrycon,Hyphessobrycon bifasciatus,"-2,138,277,817","-411,827,774"
247,Hypomasticus copelandii,Especie,Chordata,Anostomidae,Characiformes,Hypomasticus,Hypomasticus copelandii,"-2,156,666,667","-4,133,333,333"
248,Hypostomus affinis,Especie,Chordata,Loricariidae,Siluriformes,Hypostomus,Hypostomus affinis,"-2,183,333,397","-4,256,666,565"
249,Hypostomus affinis,Especie,Chordata,Loricariidae,Siluriformes,Hypostomus,Hypostomus affinis,-22.49,"-4,360,555,556"
250,Hypostomus luetkeni,Especie,Chordata,Loricariidae,Siluriformes,Hypostomus,Hypostomus luetkeni,"-2,246,666,718","-4,381,666,565"
251,Jenynsia lineata,Especie,Chordata,Anablepidae,Cyprinodontiformes,Jenynsia,Jenynsia lineata,"-2,298,333,359","-4,340,000,153"
252,Kronichthys heylandi,Especie,Chordata,Loricariidae,Siluriformes,Kronichthys,Kronichthys heylandi,-22.5,"-4,263,333,511"
253,Kronichthys heylandi,Especie,Chordata,Loricariidae,Siluriformes,Kronichthys,Kronichthys heylandi,"-2,324,083,328","-4,476,305,389"
254,Kronichthys heylandi,Especie,Chordata,Loricariidae,Siluriformes,Kronichthys,Kronichthys heylandi,"-2,321,416,664","-4,479,111,099"
255,Kronichthys heylandi,Especie,Chordata,Loricariidae,Siluriformes,Kronichthys,Kronichthys heylandi,"-2,322,611,046","-4,476,610,947"
256,Kronichthys heylandi,Especie,Chordata,Loricariidae,Siluriformes,Kronichthys,Kronichthys heylandi,"-2,248,222,222","-4,339,055,556"
257,Kronichthys heylandi,Especie,Chordata,Loricariidae,Siluriformes,Kronichthys,Kronichthys heylandi,"-2,248,083,333","-4,326,805,556"
258,Kronichthys heylandi,Especie,Chordata,Loricariidae,Siluriformes,Kronichthys,Kronichthys heylandi,"-2,260,916,667","-4,356,888,889"
259,Kronichthys heylandi,Especie,Chordata,Loricariidae,Siluriformes,Kronichthys,Kronichthys heylandi,-22.57,"-4,346,861,111"
260,Kronichthys heylandi,Especie,Chordata,Loricariidae,Siluriformes,Kronichthys,Kronichthys heylandi,"-2,256,194,444","-43,465"
261,Kronichthys heylandi,Especie,Chordata,Loricariidae,Siluriformes,Kronichthys,Kronichthys heylandi,"-2,256,194,444","-43,465"
262,Kryptolebias gracilis,Especie,Chordata,Rivulidae,Cyprinodontiformes,Kryptolebias,Kryptolebias gracilis,"-228,667",-42.6
263,Kryptolebias ocellatus,Especie,Chordata,Rivulidae,Cyprinodontiformes,Kryptolebias,Kryptolebias ocellatus,"-2,298,333,359","-4,340,000,153"
264,Leptolebias marmoratus,Especie,Chordata,Rivulidae,Cyprinodontiformes,Leptolebias,Leptolebias marmoratus,"-2,265,833,333","-4,342,916,667"
265,Mimagoniates microlepis,Especie,Chordata,Characidae,Characiformes,Mimagoniates,Mimagoniates microlepis,"-2,245,111,084","-4,264,888,763"
266,Mimagoniates microlepis,Especie,Chordata,Characidae,Characiformes,Mimagoniates,Mimagoniates microlepis,"-2,248,583,412","-426,594,429"
267,Mimagoniates microlepis,Especie,Chordata,Characidae,Characiformes,Mimagoniates,Mimagoniates microlepis,"-2,251,611,137","-4,232,222,366"
268,Mimagoniates microlepis,Especie,Chordata,Characidae,Characiformes,Mimagoniates,Mimagoniates microlepis,"-2,245,499,992","-4,295,916,748"
269,Mimagoniates microlepis,Especie,Chordata,Characidae,Characiformes,Mimagoniates,Mimagoniates microlepis,"-2,246,666,718","-4,265,000,153"
270,Mimagoniates microlepis,Especie,Chordata,Characidae,Characiformes,Mimagoniates,Mimagoniates microlepis,-22.58,"-4,331,611,111"
271,Mimagoniates microlepis,Especie,Chordata,Characidae,Characiformes,Mimagoniates,Mimagoniates microlepis,"-2,257,277,778","-4,341,833,333"
272,Mimagoniates microlepis,Especie,Chordata,Characidae,Characiformes,Mimagoniates,Mimagoniates microlepis,"-2,263,888,889","-4,352,555,556"
273,Mimagoniates microlepis,Especie,Chordata,Characidae,Characiformes,Mimagoniates,Mimagoniates microlepis,"-22,575","-4,336,388,889"
274,Mimagoniates microlepis,Especie,Chordata,Characidae,Characiformes,Mimagoniates,Mimagoniates microlepis,"-2,260,916,667","-4,356,888,889"
275,Neoplecostomus microps,Especie,Chordata,Loricariidae,Siluriformes,Neoplecostomus,Neoplecostomus microps,"-2,235,222,244","-4,230,250,168"
276,Neoplecostomus microps,Especie,,Loricariidae,Siluriformes,Neoplecostomus,Neoplecostomus microps,"-2,224,277,687","-4,210,499,954"
277,Neoplecostomus microps,Especie,,Loricariidae,Siluriformes,Neoplecostomus,Neoplecostomus microps,"-2,228,138,924","-4,215,611,267"
278,Neoplecostomus microps,Especie,,Loricariidae,Siluriformes,Neoplecostomus,Neoplecostomus microps,"-2,222,916,603","-4,212,722,397"
279,Neoplecostomus microps,Especie,,Loricariidae,Siluriformes,Neoplecostomus,Neoplecostomus microps,"-2,223,749,924","-4,209,444,427"
280,Neoplecostomus microps,Especie,,Loricariidae,Siluriformes,Neoplecostomus,Neoplecostomus microps,"-2,246,666,718","-4,265,000,153"
281,Neoplecostomus microps,Especie,,Loricariidae,Siluriformes,Neoplecostomus,Neoplecostomus microps,"-2,239,999,962","-4,271,666,718"
282,Neoplecostomus microps,Especie,,Loricariidae,Siluriformes,Neoplecostomus,Neoplecostomus microps,"-2,239,111,137","-4,248,444,366"
283,Neoplecostomus microps,Especie,,Loricariidae,Siluriformes,Neoplecostomus,Neoplecostomus microps,"-2,236,833,382","-4,245,833,206"
284,Neoplecostomus microps,Especie,,Loricariidae,Siluriformes,Neoplecostomus,Neoplecostomus microps,"-2,226,638,794","-4,253,305,435"
285,Neoplecostomus microps,Especie,,Loricariidae,Siluriformes,Neoplecostomus,Neoplecostomus microps,"-2,248,222,222","-4,339,055,556"
286,Neoplecostomus paraty,Especie,,Loricariidae,Siluriformes,Neoplecostomus,Neoplecostomus paraty,"-2,320,944,444","-4,479,416,667"
287,Oligosarcus hepsetus,Especie,,Characidae,Characiformes,Oligosarcus,Oligosarcus hepsetus,"-2,156,666,667","-4,133,333,333"
288,Oligosarcus hepsetus,Especie,,Characidae,Characiformes,Oligosarcus,Oligosarcus hepsetus,"-2,260,916,667","-4,356,888,889"
289,Otothyris lophophanes,Especie,,Loricariidae,Siluriformes,Otothyris,Otothyris lophophanes,"-2,128,333,282","-4,131,666,565"
290,Pachyurus adspersus,Especie,,Sciaenidae,Acanthuriformes,Pachyurus,Pachyurus adspersus,"-2,249,694,444","-4,388,944,444"
291,Pareiorhaphis garbei,Especie,,Loricariidae,Siluriformes,Pareiorhaphis,Pareiorhaphis garbei,"-2,239,999,962","-4,271,666,718"
292,Pareiorhaphis garbei,Especie,,Loricariidae,Siluriformes,Pareiorhaphis,Pareiorhaphis garbei,"-2,243,055,534","-4,254,055,405"
293,Pareiorhaphis garbei,Especie,,Loricariidae,Siluriformes,Pareiorhaphis,Pareiorhaphis garbei,"-2,249,111,111","-4,300,388,889"
294,Pareiorhaphis garbei,Especie,,Loricariidae,Siluriformes,Pareiorhaphis,Pareiorhaphis garbei,"-2,252,333,333","-4,255,888,889"
295,Pareiorhina rudolphi,Especie,,Loricariidae,Siluriformes,Pareiorhina,Pareiorhina rudolphi,"-2,246,666,718","-4,445,000,076"
296,Parotocinclus maculicauda,Especie,,Loricariidae,Siluriformes,Parotocinclus,Parotocinclus maculicauda,"-2,245,111,084","-4,264,888,763"
297,Parotocinclus maculicauda,Especie,,Loricariidae,Siluriformes,Parotocinclus,Parotocinclus maculicauda,"-2,246,666,718","-4,265,000,153"
298,Parotocinclus maculicauda,Especie,,Loricariidae,Siluriformes,Parotocinclus,Parotocinclus maculicauda,-22.25,"-4,196,666,718"
299,Parotocinclus maculicauda,Especie,,Loricariidae,Siluriformes,Parotocinclus,Parotocinclus maculicauda,-22.58,"-4,331,611,111"
300,Parotocinclus maculicauda,Especie,,Loricariidae,Siluriformes,Parotocinclus,Parotocinclus maculicauda,"-2,260,916,667","-4,356,888,889"
301,Phalloceros anisophallos,Especie,,Poeciliidae,Cyprinodontiformes,Phalloceros,Phalloceros anisophallos,"-2,304,138,947","-4,469,277,954"
302,Phalloceros anisophallos,Especie,,Poeciliidae,Cyprinodontiformes,Phalloceros,Phalloceros anisophallos,"-2,304,138,947","-4,469,388,962"
303,Phalloceros anisophallos,Especie,,Poeciliidae,Cyprinodontiformes,Phalloceros,Phalloceros anisophallos,"-2,307,638,931","-4,469,749,832"
304,Phalloceros aspilos,Especie,,Poeciliidae,Cyprinodontiformes,Phalloceros,Phalloceros aspilos,"-2,334,111,023","-4,474,583,435"
305,Phalloceros aspilos,Especie,,Poeciliidae,Cyprinodontiformes,Phalloceros,Phalloceros aspilos,"-2,329,777,718","-4,471,027,756"
306,Phalloceros caudimaculatus,Especie,,Poeciliidae,Cyprinodontiformes,Phalloceros,Phalloceros caudimaculatus,"-2,223,749,924","-4,209,444,427"
307,Phalloceros caudimaculatus,Especie,,Poeciliidae,Cyprinodontiformes,Phalloceros,Phalloceros caudimaculatus,"-2,251,611,137","-4,232,222,366"
308,Phalloceros caudimaculatus,Especie,,Poeciliidae,Cyprinodontiformes,Phalloceros,Phalloceros caudimaculatus,"-2,224,277,687","-4,210,499,954"
309,Phalloceros enneaktinos,Especie,,Poeciliidae,Cyprinodontiformes,Phalloceros,Phalloceros enneaktinos,"-2,332,916,641","-446,819,458"
310,Phalloceros harpagos,Especie,,Poeciliidae,Cyprinodontiformes,Phalloceros,Phalloceros harpagos,"-2,245,499,992","-4,295,916,748"
311,Phalloceros harpagos,Especie,,Poeciliidae,Cyprinodontiformes,Phalloceros,Phalloceros harpagos,"-2,203,333,282","-4,278,333,282"
312,Phalloceros harpagos,Especie,,Poeciliidae,Cyprinodontiformes,Phalloceros,Phalloceros harpagos,"-2,130,611,038","-4,114,527,893"
313,Phalloceros harpagos,Especie,,Poeciliidae,Cyprinodontiformes,Phalloceros,Phalloceros harpagos,"-2,320,916,748","-4,479,388,809"
314,Phalloceros leptokeras,Especie,,Poeciliidae,Cyprinodontiformes,Phalloceros,Phalloceros leptokeras,"-2,191,666,603","-4,270,000,076"
315,Phalloceros leptokeras,Especie,,Poeciliidae,Cyprinodontiformes,Phalloceros,Phalloceros leptokeras,"-2,203,333,333","-4,278,333,333"
316,Phalloceros tupinamba,Especie,,Poeciliidae,Cyprinodontiformes,Phalloceros,Phalloceros tupinamba,"-2,248,583,412","-426,594,429"
317,Phalloceros tupinamba,Especie,,Poeciliidae,Cyprinodontiformes,Phalloceros,Phalloceros tupinamba,"-2,248,583,412","-426,594,429"
318,Phalloptychus januarius,Especie,,Poeciliidae,Cyprinodontiformes,Phalloptychus,Phalloptychus januarius,"-2,298,333,359","-4,340,000,153"
319,Phalloptychus januarius,Especie,,Poeciliidae,Cyprinodontiformes,Phalloptychus,Phalloptychus januarius,"-2,298,333,359","-4,340,000,153"
320,Phalloptychus januarius,Especie,,Poeciliidae,Cyprinodontiformes,Phalloptychus,Phalloptychus januarius,"-2,298,333,359","-4,340,000,153"
321,Pimelodella lateristriga,Especie,,Heptapteridae,Siluriformes,Pimelodella,Pimelodella lateristriga,"-2,183,333,397","-4,256,666,565"
322,Pimelodella lateristriga,Especie,,Heptapteridae,Siluriformes,Pimelodella,Pimelodella lateristriga,"-2,251,611,137","-4,232,222,366"
323,Pimelodella pectinifera,Especie,,Heptapteridae,Siluriformes,Pimelodella,Pimelodella pectinifera,"-2,204,999,924","-4,171,666,718"
324,Pimelodus platicirris,Especie,,Pimelodidae,Siluriformes,Pimelodus,Pimelodus platicirris,"-2,251,666,641","-4,408,333,206"
325,Poecilia reticulata,Especie,,Poeciliidae,Cyprinodontiformes,Poecilia,Poecilia reticulata,"-2,263,333,321","-4,390,000,153"
326,Poecilia reticulata,Especie,,Poeciliidae,Cyprinodontiformes,Poecilia,Poecilia reticulata,"-2,183,333,397","-4,256,666,565"
327,Poecilia reticulata,Especie,,Poeciliidae,Cyprinodontiformes,Poecilia,Poecilia reticulata,"-2,246,666,718","-4,381,666,565"
328,Poecilia reticulata,Especie,,Poeciliidae,Cyprinodontiformes,Poecilia,Poecilia reticulata,"-2,248,583,412","-426,594,429"
329,Poecilia reticulata,Especie,,Poeciliidae,Cyprinodontiformes,Poecilia,Poecilia reticulata,"-2,245,111,084","-4,264,888,763"
330,Poecilia reticulata,Especie,,Poeciliidae,Cyprinodontiformes,Poecilia,Poecilia reticulata,"-2,226,666,641","-4,371,666,718"
331,Poecilia reticulata,Especie,,Poeciliidae,Cyprinodontiformes,Poecilia,Poecilia reticulata,-22.58,"-4,331,611,111"
332,Poecilia reticulata,Especie,,Poeciliidae,Cyprinodontiformes,Poecilia,Poecilia reticulata,"-22,575","-4,336,388,889"
333,Poecilia reticulata,Especie,,Poeciliidae,Cyprinodontiformes,Poecilia,Poecilia reticulata,"-2,260,916,667","-4,356,888,889"
334,Poecilia vivipara,Especie,,Poeciliidae,Cyprinodontiformes,Poecilia,Poecilia vivipara,"-2,298,333,359","-4,340,000,153"
335,Poecilia vivipara,Especie,,Poeciliidae,Cyprinodontiformes,Poecilia,Poecilia vivipara,"-2,128,333,282","-4,131,666,565"
336,Poecilia vivipara,Especie,,Poeciliidae,Cyprinodontiformes,Poecilia,Poecilia vivipara,"-2,211,111,069","-4,164,083,481"
337,Poecilia vivipara,Especie,,Poeciliidae,Cyprinodontiformes,Poecilia,Poecilia vivipara,"-2,130,611,038","-4,114,527,893"
338,Poecilia vivipara,Especie,,Poeciliidae,Cyprinodontiformes,Poecilia,Poecilia vivipara,"-2,138,277,817","-411,827,774"
339,Psalidodon bockmanni,Especie,,Characidae,Characiformes,Psalidodon,Psalidodon bockmanni,"-2,260,027,778","-4,417,027,778"
340,Pseudophallus mindi,Especie,,Syngnathidae,Syngnathiformes,Pseudophallus,Pseudophallus mindi,"-2,291,527,748","-4,434,500,122"
341,Rhamdioglanis frenatus,Especie,,Heptapteridae,Siluriformes,Rhamdioglanis,Rhamdioglanis frenatus,"-2,235,222,244","-4,230,250,168"
342,Rhamdioglanis frenatus,Especie,,Heptapteridae,Siluriformes,Rhamdioglanis,Rhamdioglanis frenatus,"-2,245,111,084","-4,264,888,763"
343,Rhamdioglanis frenatus,Especie,,Heptapteridae,Siluriformes,Rhamdioglanis,Rhamdioglanis frenatus,"-2,246,666,718","-4,265,000,153"
344,Rhamdioglanis frenatus,Especie,,Heptapteridae,Siluriformes,Rhamdioglanis,Rhamdioglanis frenatus,"-2,252,777,778","-4,354,805,556"
345,Rhamdioglanis frenatus,Especie,,Heptapteridae,Siluriformes,Rhamdioglanis,Rhamdioglanis frenatus,"-2,248,277,778","-4,341,666,667"
346,Schizolecis guntheri,Especie,,Loricariidae,Siluriformes,Schizolecis,Schizolecis guntheri,"-2,238,333,321","-4,221,666,718"
347,Schizolecis guntheri,Especie,,Loricariidae,Siluriformes,Schizolecis,Schizolecis guntheri,"-2,235,222,244","-4,230,250,168"
348,Schizolecis guntheri,Especie,,Loricariidae,Siluriformes,Schizolecis,Schizolecis guntheri,"-2,222,916,603","-4,212,722,397"
349,Schizolecis guntheri,Especie,,Loricariidae,Siluriformes,Schizolecis,Schizolecis guntheri,"-2,223,749,924","-4,209,444,427"
350,Schizolecis guntheri,Especie,,Loricariidae,Siluriformes,Schizolecis,Schizolecis guntheri,"-2,245,111,084","-4,264,888,763"
351,Schizolecis guntheri,Especie,,Loricariidae,Siluriformes,Schizolecis,Schizolecis guntheri,"-2,224,277,687","-4,210,499,954"
352,Schizolecis guntheri,Especie,,Loricariidae,Siluriformes,Schizolecis,Schizolecis guntheri,"-2,251,611,137","-4,232,222,366"
353,Schizolecis guntheri,Especie,,Loricariidae,Siluriformes,Schizolecis,Schizolecis guntheri,"-2,246,666,718","-4,265,000,153"
354,Schizolecis guntheri,Especie,,Loricariidae,Siluriformes,Schizolecis,Schizolecis guntheri,"-2,294,694,519","-4,432,083,511"
355,Schizolecis guntheri,Especie,,Loricariidae,Siluriformes,Schizolecis,Schizolecis guntheri,"-2,307,638,931","-4,469,749,832"
356,Schizolecis guntheri,Especie,,Loricariidae,Siluriformes,Schizolecis,Schizolecis guntheri,"-2,291,527,748","-4,434,500,122"
357,Schizolecis guntheri,Especie,,Loricariidae,Siluriformes,Schizolecis,Schizolecis guntheri,"-2,332,916,641","-446,819,458"
358,Schizolecis guntheri,Especie,,Loricariidae,Siluriformes,Schizolecis,Schizolecis guntheri,"-2,304,138,947","-4,469,388,962"
359,Schizolecis guntheri,Especie,,Loricariidae,Siluriformes,Schizolecis,Schizolecis guntheri,"-2,329,777,718","-4,471,027,756"
360,Schizolecis guntheri,Especie,,Loricariidae,Siluriformes,Schizolecis,Schizolecis guntheri,"-2,290,916,634","-4,428,333,282"
361,Schizolecis guntheri,Especie,,Loricariidae,Siluriformes,Schizolecis,Schizolecis guntheri,"-2,322,611,046","-4,476,610,947"
362,Schizolecis guntheri,Especie,,Loricariidae,Siluriformes,Schizolecis,Schizolecis guntheri,"-2,321,416,664","-4,479,111,099"
363,Schizolecis guntheri,Especie,,Loricariidae,Siluriformes,Schizolecis,Schizolecis guntheri,-22.25,"-4,196,666,718"
364,Schizolecis guntheri,Especie,,Loricariidae,Siluriformes,Schizolecis,Schizolecis guntheri,"-2,256,527,778","-4,266,277,778"
365,Schizolecis guntheri,Especie,,Loricariidae,Siluriformes,Schizolecis,Schizolecis guntheri,"-2,248,277,778","-4,341,666,667"
366,Schizolecis guntheri,Especie,,Loricariidae,Siluriformes,Schizolecis,Schizolecis guntheri,"-22,575","-4,336,388,889"
367,Schizolecis guntheri,Especie,,Loricariidae,Siluriformes,Schizolecis,Schizolecis guntheri,-22.58,"-4,331,611,111"
368,Schizolecis guntheri,Especie,,Loricariidae,Siluriformes,Schizolecis,Schizolecis guntheri,"-2,257,277,778","-4,341,833,333"
369,Schizolecis guntheri,Especie,,Loricariidae,Siluriformes,Schizolecis,Schizolecis guntheri,"-2,260,916,667","-4,356,888,889"
370,Scleromystax barbatus,Especie,,Callichthyidae,Siluriformes,Scleromystax,Scleromystax barbatus,"-2,235,222,244","-4,230,250,168"
371,Scleromystax barbatus,Especie,,Callichthyidae,Siluriformes,Scleromystax,Scleromystax barbatus,"-2,245,111,084","-4,264,888,763"
372,Scleromystax barbatus,Especie,,Callichthyidae,Siluriformes,Scleromystax,Scleromystax barbatus,"-2,251,611,137","-4,232,222,366"
373,Scleromystax barbatus,Especie,,Callichthyidae,Siluriformes,Scleromystax,Scleromystax barbatus,"-2,246,666,718","-4,265,000,153"
