ID,Nome cientifico,Nome cientifico na base de dados,Nivel taxonomico,Numero de individuos,Filo,Classe,Ordemm,Familia,Estado de conservacao,Localidade,Estado/Provincia,Municipio,Latitude,Longitude
3856,Pleidae,Cicadellidae,Familia,1,Arthropoda,Insecta,Hemiptera,Cicadellidae,Especie Nao Ameaçada,Area Urbana,RJ,Itatiaia,"-22,495,833","-44,558,333"
3857,Rhagovelia,Cicadellidae,Familia,1,Arthropoda,Insecta,Hemiptera,Cicadellidae,Especie Nao Ameaçada,Area Urbana as Margens Da Via Dutra,RJ,Pirai,"-22,633,611","-43,826,667"
3858,Rhagovelia,Cicadellidae,Familia,1,Arthropoda,Insecta,Hemiptera,Cicadellidae,Especie Nao Ameaçada,Area Urbana as Margens Da Via Dutra,RJ,Pirai,"-22,633,611","-43,826,667"
3859,Rhagovelia,Cicadellidae,Familia,2,Arthropoda,Insecta,Hemiptera,Cicadellidae,Especie Nao Ameaçada,Area Urbana as Margens Da Via Dutra,RJ,Pirai,"-22,633,611","-43,826,667"
3860,Rhagovelia,Cicadellidae,Familia,2,Arthropoda,Insecta,Hemiptera,Cicadellidae,Especie Nao Ameaçada,Area Urbana as Margens Da Via Dutra,RJ,Pirai,"-22,633,611","-43,826,667"
3861,Rhagovelia,Cicadellidae,Familia,2,Arthropoda,Insecta,Hemiptera,Cicadellidae,Especie Nao Ameaçada,Area Urbana as Margens Da Via Dutra,RJ,Pirai,"-22,633,611","-43,826,667"
3862,Rhagovelia,Cicadellidae,Familia,2,Arthropoda,Insecta,Hemiptera,Cicadellidae,Especie Nao Ameaçada,Area Urbana as Margens Da Via Dutra,RJ,Pirai,"-22,633,611","-43,826,667"
3863,Rhagovelia,Cicadellidae,Familia,2,Arthropoda,Insecta,Hemiptera,Cicadellidae,Especie Nao Ameaçada,Area Urbana as Margens Da Via Dutra,RJ,Pirai,"-22,633,611","-43,826,667"
3864,Rhagovelia,Cicadellidae,Familia,2,Arthropoda,Insecta,Hemiptera,Cicadellidae,Especie Nao Ameaçada,Area Urbana as Margens Da Via Dutra,RJ,Pirai,"-22,633,611","-43,826,667"
3865,Rhagovelia,Cicadellidae,Familia,2,Arthropoda,Insecta,Hemiptera,Cicadellidae,Especie Nao Ameaçada,Area Urbana as Margens Da Via Dutra,RJ,Pirai,"-22,633,611","-43,826,667"
3866,Rhagovelia,Cicadellidae,Familia,2,Arthropoda,Insecta,Hemiptera,Cicadellidae,Especie Nao Ameaçada,Area Urbana as Margens Da Via Dutra,RJ,Pirai,"-22,633,611","-43,826,667"
3867,Rhagovelia,Cicadellidae,Familia,2,Arthropoda,Insecta,Hemiptera,Cicadellidae,Especie Nao Ameaçada,Area Urbana as Margens Da Via Dutra,RJ,Pirai,"-22,633,611","-43,826,667"
3868,Rhagovelia,Cicadellidae,Familia,15,Arthropoda,Insecta,Hemiptera,Cicadellidae,Especie Nao Ameaçada,Area Urbana as Margens Da Via Dutra,RJ,Pirai,"-22,633,611","-43,826,667"
3869,Rhagovelia,Membracidae,Familia,2,Arthropoda,Insecta,Hemiptera,Membracidae,Especie Nao Ameaçada,Parque Nacional Da Serra DosÓrgaos,RJ,Sem Informações,"-22,498,056","-43,073,056"
3870,Veliidae,Naucoridae,Familia,116,Arthropoda,Insecta,Hemiptera,Naucoridae,Especie Nao Ameaçada,Parque Nacional De Itatiaia,RJ,Sem Informações,"-22,427,286","-44,618,267"
3871,Veliidae,Pleidae,Familia,116,Arthropoda,Insecta,Hemiptera,Pleidae,Especie Nao Ameaçada,Parque Nacional De Itatiaia,RJ,Sem Informações,"-22,427,286","-44,618,267"
3872,Veliidae,Gerridae,Familia,116,Arthropoda,Insecta,Hemiptera,Gerridae,Especie Nao Ameaçada,Parque Nacional De Itatiaia,RJ,Sem Informações,"-22,427,286","-44,618,267"
3873,Veliidae,Mesoveliidae,Familia,116,Arthropoda,Insecta,Hemiptera,Mesoveliidae,Especie Nao Ameaçada,Parque Nacional De Itatiaia,RJ,Sem Informações,"-22,427,283","-44,618,267"
3874,Veliidae,Rhagovelia,Genero,116,Arthropoda,Insecta,Hemiptera,Veliidae,Especie Nao Ameaçada,Parque Nacional De Itatiaia,RJ,Sem Informações,"-22,437,797","-44,605,325"
3875,Veliidae,Naucoridae,Familia,116,Arthropoda,Insecta,Hemiptera,Naucoridae,Especie Nao Ameaçada,Parque Nacional De Itatiaia,RJ,Sem Informações,"-22,437,797","-44,605,325"
3876,Veliidae,Pleidae,Familia,116,Arthropoda,Insecta,Hemiptera,Pleidae,Especie Nao Ameaçada,Parque Nacional De Itatiaia,RJ,Sem Informações,"-22,437,797","-44,605,325"
3877,Veliidae,Gerridae,Familia,116,Arthropoda,Insecta,Hemiptera,Gerridae,Especie Nao Ameaçada,Parque Nacional De Itatiaia,RJ,Sem Informações,"-22,437,797","-44,605,325"
3878,Veliidae,Mesoveliidae,Familia,116,Arthropoda,Insecta,Hemiptera,Mesoveliidae,Especie Nao Ameaçada,Parque Nacional De Itatiaia,RJ,Sem Informações,"-22,437,794","-44,605,325"
3879,Veliidae,Gerridae,Familia,5,Arthropoda,Insecta,Hemiptera,Gerridae,Especie Nao Ameaçada,Reserva BiolÃ³gica UniÃ£o,RJ,Sem Informações,"-22,424,383","-42,043,017"
