LOCALIDADE,LATITUDE,LONGITUDE,CLASSE,GENERO,FAMILIA,ESPECIE,NUMERO DE REGISTRO NO PORTAL,NOME COMUM,,,,,,,,,,,,,,,,-22.586.156,,Estado/Provincia,,Numero do registro no portal
Parque Nacional De Itatiaia,-22.534.278,-44.639.406,Amphibia,Melanophryniscus,Bufonidae,Melanophryniscus moreirae,126227,,,,,,,,,,,,,,,,,,,RJ,,126227
Rerp,-22.990.556,-44.101.667,Amphibia,Phyllomedusa,Hylidae,Phyllomedusa burmeisteri,126499,,,,,,,,,,,,,,,,,,,RJ,,126499
Rerp,-22.990.556,-44.101.667,Amphibia,Haddadus,Craugastoridae,Haddadus binotatus,126515,,,,,,,,,,,,,,,,,,,RJ,,126515
Centro Marista S. J. Das Paineiras,-22.515,-43.756.944,Amphibia,Ischnocnema,Brachycephalidae,Ischnocnema parva,126526,,,,,,,,,,,,,,,,,,,RJ,,126526
Centro Marista S. J. Das Paineiras,-22.515,-43.756.942,Amphibia,Proceratophrys,Cycloramphidae,Proceratophrys boiei,126537,,,,,,,,,,,,,,,,,,,RJ,,126537
Centro Marista S. J. Das Paineiras,-22.515,-43.756.942,Amphibia,Leptodactylus,Leptodactylidae,Leptodactylus ocellatus,126538,,,,,,,,,,,,,,,,,,,RJ,,126538
Centro Marista S. J. Das Paineiras,-22.515,-43.756.942,Amphibia,Rhinella,Bufonidae,Rhinella icterica,126539,,,,,,,,,,,,,,,,,,,RJ,,126539
Centro Marista S. J. Das Paineiras,-22.515,-43.756.942,Amphibia,Leptodactylus,Leptodactylidae,Leptodactylus marmoratus,126540,,,,,,,,,,,,,,,,,,,RJ,,126540
Centro Marista S. J. Das Paineiras,-22.515,-43.756.942,Amphibia,Thoropa,Cycloramphidae,Thoropa miliaris,126547,,,,,,,,,,,,,,,,,,,RJ,,126547
Centro Marista S. J. Das Paineiras,-22.515,-43.756.942,Amphibia,Crossodactylus,Hylodidae,Crossodactylus gaudichaudii,126564,,,,,,,,,,,,,,,,,,,RJ,,126564
Centro Marista S. J. Das Paineiras,-22.515,-43.756.942,Amphibia,Ischnocnema,Brachycephalidae,Ischnocnema guentheri,126566,,,,,,,,,,,,,,,,,,,RJ,,126566
Centro Marista S. J. Das Paineiras,-22.515,-43.756.942,Amphibia,Haddadus,Craugastoridae,Haddadus binotatus,126586,,,,,,,,,,,,,,,,,,,RJ,,126586
Praia De Maua,-22.713.606,-43.166.942,Amphibia,Hypsiboas,Hylidae,Hypsiboas albomarginatus,126592,,,,,,,,,,,,,,,,,,,RJ,,126592
Centro Marista S. J. Das Paineiras,-22.515,-43.756.942,Amphibia,Scinax,Hylidae,Scinax trapicheiroi,126608,,,,,,,,,,,,,,,,,,,RJ,,126608
Centro Marista S. J. Das Paineiras,-22.515,-43.756.942,Amphibia,Scinax,Hylidae,Scinax fuscovarius,126609,,,,,,,,,,,,,,,,,,,RJ,,126609
Centro Marista S. J. Das Paineiras,-22.515,-43.756.942,Amphibia,Rhinella,Bufonidae,Rhinella ornata,126613,,,,,,,,,,,,,,,,,,,RJ,,126613
Centro Marista S. J. Das Paineiras,-22.515,-43.756.942,Amphibia,Hypsiboas,Hylidae,Hypsiboas faber,126615,,,,,,,,,,,,,,,,,,,RJ,,126615
Praia De Maua,-22.713.606,-43.166.942,Amphibia,Leptodactylus,Leptodactylidae,Leptodactylus ocellatus,126622,,,,,,,,,,,,,,,,,,,RJ,,126622
Parque Nacional Da Serra Dos Org̣os,-22.424.869,-42.996.647,Amphibia,Aplastodiscus,Hylidae,Sem Informa̵̤es,127102,,,,,,,,,,,,,,,,,,,RJ,,127102
Parque Nacional De Itatiaia,-22.372.167,-44.703.306,Amphibia,Melanophryniscus,Bufonidae,Melanophryniscus moreirae,127122,,,,,,,,,,,,,,,,,,,RJ,,127122
Praia De Maua,-22.713.611,-43.166.944,Amphibia,Dendropsophus,Hylidae,Dendropsophus anceps,122660,,,,,,,,,,,,,,,,,,,RJ,,122660
Estrada Parati-Cunha,-23.207.194,-44.827.689,Amphibia,Cycloramphus,Cycloramphidae,Cycloramphus boraceiensis,122664,,,,,,,,,,,,,,,,,,,RJ,,122664
Estrada Parati-Cunha,-23.207.336,-44.812.497,Amphibia,Bokermannohyla,Hylidae,Bokermannohyla circumdata,122665,,,,,,,,,,,,,,,,,,,RJ,,122665
Estrada Parati-Cunha,-23.207.336,-44.812.497,Amphibia,Scinax,Hylidae,Scinax perpusillus,122666,,,,,,,,,,,,,,,,,,,RJ,,122666
Estrada Parati-Cunha,-23.207.336,-44.812.497,Amphibia,Cycloramphus,Cycloramphidae,Cycloramphus boraceiensis,122667,,,,,,,,,,,,,,,,,,,RJ,,122667
Estrada Parati-Cunha,-23.207.336,-44.812.497,Amphibia,Ischnocnema,Brachycephalidae,Ischnocnema guentheri,122668,,,,,,,,,,,,,,,,,,,RJ,,122668
Estrada Parati-Cunha,-23.207.336,-44.812.497,Amphibia,Hylodes,Hylodidae,Hylodes asper,122669,,,,,,,,,,,,,,,,,,,RJ,,122669
Botafogo,-22.953.333,-43.19,Amphibia,Siphonops,Caeciliidae,Siphonops hardyi,122683,,,,,,,,,,,,,,,,,,,RJ,,122683
Praia De Maua,-22.713.608,-43.166.942,Amphibia,Scinax,Hylidae,Scinax similis,122690,,,,,,,,,,,,,,,,,,,RJ,,122690
Xerem,-22.583.056,-43.304.722,Amphibia,Cycloramphus,Cycloramphidae,Cycloramphus fuliginosus,122725,,,,,,,,,,,,,,,,,,,RJ,,122725
Rerp,-22.990.831,-44.101.667,Amphibia,Ischnocnema,Brachycephalidae,Ischnocnema parva,124570,,,,,,,,,,,,,,,,,,,RJ,,124570
Rerp,-22.990.831,-44.101.667,Amphibia,Leptodactylus,Leptodactylidae,Leptodactylus marmoratus,124571,,,,,,,,,,,,,,,,,,,RJ,,124571
Rerp,-22.990.833,-44.101.667,Amphibia,Bokermannohyla,Hylidae,Bokermannohyla circumdata,124588,,,,,,,,,,,,,,,,,,,RJ,,124588
Rerp,-22.990.831,-44.101.667,Amphibia,Scinax,Hylidae,Scinax tupinamba,124589,,,,,,,,,,,,,,,,,,,RJ,,124589
Rerp,-22.990.831,-44.101.667,Amphibia,Scinax,Hylidae,Scinax angrensis,124590,,,,,,,,,,,,,,,,,,,RJ,,124590
Rerp,-22.990.831,-44.101.667,Amphibia,Hylodes,Hylodidae,Hylodes phyllodes,124591,,,,,,,,,,,,,,,,,,,RJ,,124591
Nova Friburgo E Arredores,-22.287.222,-42.536.111,Amphibia,Dendrophryniscus,Bufonidae,Dendrophryniscus minutus,12110,,,,,,,,,,,,,,,,,,,RJ,,12110
Parque Nacional Da Serra Da Bocaina,-23.35,-44.733.331,Amphibia,Rhinella,Bufonidae,Sem Informa̵̤es,121672,,,,,,,,,,,,,,,,,,,RJ,,121672
Citrolandia,-225.325,-42.99,Amphibia,Dendrophryniscus,Bufonidae,Dendrophryniscus brevipollicatus,127901,,,,,,,,,,,,,,,,,,,RJ,,127901
Citrolandia,-225.325,-42.99,Amphibia,Scinax,Hylidae,Scinax humilis,128072,,,,,,,,,,,,,,,,,,,RJ,,128072
Citrolandia,-225.325,-42.99,Amphibia,Scinax,Hylidae,Scinax argyreornatus,128075,,,,,,,,,,,,,,,,,,,RJ,,128075
Citrolandia,-225.325,-42.99,Amphibia,Sphaenorhynchus,Hylidae,Sphaenorhynchus planicola,128077,,,,,,,,,,,,,,,,,,,RJ,,128077
Citrolandia,-225.325,-42.99,Amphibia,Hypsiboas,Hylidae,Hypsiboas albomarginatus,128078,,,,,,,,,,,,,,,,,,,RJ,,128078
Citrolandia,-225.325,-42.99,Amphibia,Dendropsophus,Hylidae,Dendropsophus bipunctatus,128079,,,,,,,,,,,,,,,,,,,RJ,,128079
Citrolandia,-225.325,-42.99,Amphibia,Dendropsophus,Hylidae,Dendropsophus berthalutzae,128081,,,,,,,,,,,,,,,,,,,RJ,,128081
Citrolandia,-225.325,-42.99,Amphibia,Scinax,Hylidae,Scinax similis,128103,,,,,,,,,,,,,,,,,,,RJ,,128103
Citrolandia,-225.325,-42.99,Amphibia,Phyllomedusa,Hylidae,Phyllomedusa rohdei,128108,,,,,,,,,,,,,,,,,,,RJ,,128108
Citrolandia,-225.325,-42.99,Amphibia,Rhinella,Bufonidae,Rhinella hoogmoedi,128109,,,,,,,,,,,,,,,,,,,RJ,,128109
Citrolandia,-225.325,-42.99,Amphibia,Dendropsophus,Hylidae,Dendropsophus minutus,128122,,,,,,,,,,,,,,,,,,,RJ,,128122
Citrolandia,-225.325,-42.99,Amphibia,Trachycephalus,Hylidae,Trachycephalus mesophaeus,128163,,,,,,,,,,,,,,,,,,,RJ,,128163
Citrolandia,-225.325,-42.99,Amphibia,Myersiella,Microhylidae,Myersiella microps,128165,,,,,,,,,,,,,,,,,,,RJ,,128165
Citrolandia,-225.325,-42.99,Amphibia,Physalaemus,Leiuperidae,Physalaemus signifer,128166,,,,,,,,,,,,,,,,,,,RJ,,128166
