LOCALIDADE,LATITUDE,LONGITUDE,CLASSE,GENERO,FAMILIA,ESPECIE,NUMERO DE REGISTRO NO PORTAL,NOME COMUM,,,,,,,,,,,,,,,,-22.586.156,,Estado/Provincia,,Numero do registro no portal
"Espraiado, Marica, Ponto 8",-2.285.615,-4.265.368,Amphibia,Scinax,Hylidae,Scinax trapicheiroi,207761,,,,,,,,,,,,,,,,,,,RJ,,207761
"Espraiado, Ponto 3",-228.805,-426.956,Amphibia,Hypsiboas,Hylidae,Hypsiboas albomarginatus,207762,,,,,,,,,,,,,,,,,,,RJ,,207762
"Espraiado, Ponto 3",-228.805,-426.956,Amphibia,Hypsiboas,Hylidae,Hypsiboas albomarginatus,207763,,,,,,,,,,,,,,,,,,,RJ,,207763
"Espraiado, Ponto 3",-228.805,-426.956,Amphibia,Hypsiboas,Hylidae,Hypsiboas albomarginatus,207764,,,,,,,,,,,,,,,,,,,RJ,,207764
"Espraiado, Ponto 3",-228.805,-426.956,Amphibia,Hypsiboas,Hylidae,Hypsiboas albomarginatus,207765,,,,,,,,,,,,,,,,,,,RJ,,207765
"Espraiado, Ponto 3",-228.805,-426.956,Amphibia,Physalaemus,Leiuperidae,Physalaemus signifer,207766,,,,,,,,,,,,,,,,,,,RJ,,207766
"Espraiado, Ponto 3",-228.805,-426.956,Amphibia,Physalaemus,Leiuperidae,Physalaemus signifer,207767,,,,,,,,,,,,,,,,,,,RJ,,207767
"Espraiado, Ponto 3",-228.805,-426.956,Amphibia,Physalaemus,Leiuperidae,Physalaemus signifer,207768,,,,,,,,,,,,,,,,,,,RJ,,207768
"Espraiado, Ponto 3",-228.805,-426.956,Amphibia,Physalaemus,Leiuperidae,Physalaemus signifer,207769,,,,,,,,,,,,,,,,,,,RJ,,207769
"Espraiado, Ponto 3",-228.805,-426.956,Amphibia,Physalaemus,Leiuperidae,Physalaemus signifer,207770,,,,,,,,,,,,,,,,,,,RJ,,207770
"Espraiado, Ponto 3",-228.805,-426.956,Amphibia,Scinax,Hylidae,Scinax trapicheiroi,207771,,,,,,,,,,,,,,,,,,,RJ,,207771
"Espraiado, Ponto 3",-228.805,-426.956,Amphibia,Scinax,Hylidae,Scinax trapicheiroi,207772,,,,,,,,,,,,,,,,,,,RJ,,207772
"Espraiado, Ponto 3",-228.805,-426.956,Amphibia,Scinax,Hylidae,Scinax trapicheiroi,207773,,,,,,,,,,,,,,,,,,,RJ,,207773
"Espraiado, Ponto 3",-228.805,-426.956,Amphibia,Scinax,Hylidae,Scinax trapicheiroi,207774,,,,,,,,,,,,,,,,,,,RJ,,207774
"Espraiado, Ponto 3",-228.805,-426.956,Amphibia,Scinax,Hylidae,Scinax trapicheiroi,207775,,,,,,,,,,,,,,,,,,,RJ,,207775
"Espraiado, Ponto 4",-22.885.238,-42.659.215,Amphibia,Scinax,Hylidae,Scinax trapicheiroi,207782,,,,,,,,,,,,,,,,,,,RJ,,207782
"Espraiado, Ponto 4",-22.885.238,-42.659.215,Amphibia,Scinax,Hylidae,Scinax trapicheiroi,207783,,,,,,,,,,,,,,,,,,,RJ,,207783
"Espraiado, Ponto 4",-22.885.238,-42.659.215,Amphibia,Scinax,Hylidae,Scinax trapicheiroi,207784,,,,,,,,,,,,,,,,,,,RJ,,207784
"Espraiado, Ponto 4",-22.885.238,-42.659.215,Amphibia,Scinax,Hylidae,Scinax trapicheiroi,207785,,,,,,,,,,,,,,,,,,,RJ,,207785
"Espraiado, Ponto 4",-22.885.238,-42.659.215,Amphibia,Scinax,Hylidae,Scinax trapicheiroi,207786,,,,,,,,,,,,,,,,,,,RJ,,207786
"Espraiado, Ponto 4",-22.885.238,-42.659.215,Amphibia,Phasmahyla,Hylidae,Phasmahyla guttata,207787,,,,,,,,,,,,,,,,,,,RJ,,207787
"Espraiado, Ponto 4",-22.885.238,-42.659.215,Amphibia,Phasmahyla,Hylidae,Phasmahyla guttata,207788,,,,,,,,,,,,,,,,,,,RJ,,207788
"Espraiado, Ponto 4",-22.885.238,-42.659.215,Amphibia,Phasmahyla,Hylidae,Phasmahyla guttata,207789,,,,,,,,,,,,,,,,,,,RJ,,207789
"Espraiado, Ponto 4",-22.885.238,-42.659.215,Amphibia,Phasmahyla,Hylidae,Phasmahyla guttata,207790,,,,,,,,,,,,,,,,,,,RJ,,207790
"Espraiado, Ponto 4",-22.885.238,-42.659.215,Amphibia,Phasmahyla,Hylidae,Phasmahyla guttata,207791,,,,,,,,,,,,,,,,,,,RJ,,207791
"Espraiado, Marica, Ponto 7",-22.869.515,-42.710.268,Amphibia,Physalaemus,Leiuperidae,Physalaemus signifer,207792,,,,,,,,,,,,,,,,,,,RJ,,207792
"Espraiado, Marica, Ponto 7",-22.869.515,-42.710.268,Amphibia,Physalaemus,Leiuperidae,Physalaemus signifer,207793,,,,,,,,,,,,,,,,,,,RJ,,207793
"Espraiado, Marica, Ponto 7",-22.869.515,-42.710.268,Amphibia,Physalaemus,Leiuperidae,Physalaemus signifer,207794,,,,,,,,,,,,,,,,,,,RJ,,207794
"Espraiado, Marica, Ponto 7",-22.869.515,-42.710.268,Amphibia,Physalaemus,Leiuperidae,Physalaemus signifer,207795,,,,,,,,,,,,,,,,,,,RJ,,207795
"Espraiado, Marica, Ponto 7",-22.869.515,-42.710.268,Amphibia,Physalaemus,Leiuperidae,Physalaemus signifer,207796,,,,,,,,,,,,,,,,,,,RJ,,207796
"Espraiado, Marica, Ponto 7",-22.869.515,-42.710.268,Amphibia,Scinax,Hylidae,Scinax trapicheiroi,207797,,,,,,,,,,,,,,,,,,,RJ,,207797
"Espraiado, Marica, Ponto 7",-22.869.515,-42.710.268,Amphibia,Scinax,Hylidae,Scinax trapicheiroi,207798,,,,,,,,,,,,,,,,,,,RJ,,207798
"Espraiado, Marica, Ponto 7",-22.869.515,-42.710.268,Amphibia,Scinax,Hylidae,Scinax trapicheiroi,207799,,,,,,,,,,,,,,,,,,,RJ,,207799
"Espraiado, Marica, Ponto 7",-22.869.515,-42.710.268,Amphibia,Scinax,Hylidae,Scinax trapicheiroi,207800,,,,,,,,,,,,,,,,,,,RJ,,207800
"Espraiado, Marica, Ponto 7",-22.869.515,-42.710.268,Amphibia,Scinax,Hylidae,Scinax trapicheiroi,207801,,,,,,,,,,,,,,,,,,,RJ,,207801
"Espraiado, Marica, Ponto 7",-22.869.515,-42.710.268,Amphibia,Phasmahyla,Hylidae,Phasmahyla guttata,207802,,,,,,,,,,,,,,,,,,,RJ,,207802
"Espraiado, Marica, Ponto 7",-22.869.515,-42.710.268,Amphibia,Phasmahyla,Hylidae,Phasmahyla guttata,207803,,,,,,,,,,,,,,,,,,,RJ,,207803
"Espraiado, Marica, Ponto 7",-22.869.515,-42.710.268,Amphibia,Phasmahyla,Hylidae,Phasmahyla guttata,207804,,,,,,,,,,,,,,,,,,,RJ,,207804
"Espraiado, Marica, Ponto 7",-22.869.515,-42.710.268,Amphibia,Phasmahyla,Hylidae,Phasmahyla guttata,207805,,,,,,,,,,,,,,,,,,,RJ,,207805
"Espraiado, Marica, Ponto 7",-22.869.515,-42.710.268,Amphibia,Phasmahyla,Hylidae,Phasmahyla guttata,207806,,,,,,,,,,,,,,,,,,,RJ,,207806
"Espraiado, Marica, Ponto 8",-2.285.615,-4.265.368,Amphibia,Scinax,Hylidae,Scinax trapicheiroi,207822,,,,,,,,,,,,,,,,,,,RJ,,207822
"Espraiado, Marica, Ponto 8",-2.285.615,-4.265.368,Amphibia,Scinax,Hylidae,Scinax trapicheiroi,207823,,,,,,,,,,,,,,,,,,,RJ,,207823
"Espraiado, Marica, Ponto 8",-2.285.615,-4.265.368,Amphibia,Scinax,Hylidae,Scinax trapicheiroi,207824,,,,,,,,,,,,,,,,,,,RJ,,207824
"Espraiado, Marica, Ponto 8",-2.285.615,-4.265.368,Amphibia,Scinax,Hylidae,Scinax trapicheiroi,207825,,,,,,,,,,,,,,,,,,,RJ,,207825
"Espraiado, Marica, Ponto 8",-2.285.615,-4.265.368,Amphibia,Phasmahyla,Hylidae,Phasmahyla guttata,207826,,,,,,,,,,,,,,,,,,,RJ,,207826
"Espraiado, Marica, Ponto 8",-2.285.615,-4.265.368,Amphibia,Phasmahyla,Hylidae,Phasmahyla guttata,207827,,,,,,,,,,,,,,,,,,,RJ,,207827
"Espraiado, Marica, Ponto 8",-2.285.615,-4.265.368,Amphibia,Phasmahyla,Hylidae,Phasmahyla guttata,207828,,,,,,,,,,,,,,,,,,,RJ,,207828
"Espraiado, Marica, Ponto 8",-2.285.615,-4.265.368,Amphibia,Phasmahyla,Hylidae,Phasmahyla guttata,207829,,,,,,,,,,,,,,,,,,,RJ,,207829
"Espraiado, Marica, Ponto 8",-2.285.615,-4.265.368,Amphibia,Phasmahyla,Hylidae,Phasmahyla guttata,207830,,,,,,,,,,,,,,,,,,,RJ,,207830
Parque Nacional Da Serra Dos Orgãos,-22.455.667,-42.993.496,Amphibia,Scinax,Hylidae,Scinax v-signatus,165738,,,,,,,,,,,,,,,,,,,RJ,,165738
Restinga De Maricá,-22.961.781,-42.856.082,Amphibia,Aparasphenodon,Hylidae,Aparasphenodon brunoi,165789,,,,,,,,,,,,,,,,,,,RJ,,165789
Restinga De Maricá,-22.961.781,-42.856.082,Amphibia,Dendropsophus,Hylidae,Dendropsophus pseudomeridianus,165790,,,,,,,,,,,,,,,,,,,RJ,,165790
Restinga De Maricá,-22.961.781,-42.856.082,Amphibia,Xenohyla,Hylidae,Xenohyla truncata,165791,,,,,,,,,,,,,,,,,,,RJ,,165791
Restinga De Maricá,-22.961.781,-42.856.082,Amphibia,Scinax,Hylidae,Scinax crospedospilus,165792,,,,,,,,,,,,,,,,,,,RJ,,165792
Parque Nacional Da Serra Dos Orgãos,-22.458.138,-42.998.242,Amphibia,Scinax,Hylidae,Scinax albicans,165793,,,,,,,,,,,,,,,,,,,RJ,,165793
Parque Nacional Da Serra Dos Orgãos,-22.458.138,-42.998.242,Amphibia,Scinax,Hylidae,Scinax hayii,165794,,,,,,,,,,,,,,,,,,,RJ,,165794
Parque Nacional Da Serra Dos Orgãos,-22.458.056,-42.998.056,Amphibia,Scinax,Hylidae,Scinax melloi,165800,,,,,,,,,,,,,,,,,,,RJ,,165800
Parque Nacional Da Serra Dos Orgãos,-22.45,-42.966.667,Amphibia,Hypsiboas,Hylidae,Hypsiboas polytaenius,166685,,,,,,,,,,,,,,,,,,,RJ,,166685
Parque Nacional Da Serra Dos Orgãos,-22.45,-42.983.333,Amphibia,Scinax,Hylidae,Scinax crospedospilus,166686,,,,,,,,,,,,,,,,,,,RJ,,166686
Parque Nacional Da Serra Dos Orgãos,-22.766.667,-4.3E8,Amphibia,Scinax,Hylidae,Scinax albicans,166729,,,,,,,,,,,,,,,,,,,RJ,,166729
Área De Proteção Ambiental De Cairuçu,-23.338.056,-44.622.778,Amphibia,Sem InformaÃ§Ãµes,Hylidae,Sem InformaÃ§Ãµes,211603,,,,,,,,,,,,,,,,,,,RJ,,211603
Área De Proteção Ambiental De Cairuçu,-233.425,-44.605.556,Amphibia,Hylodes,Hylodidae,Hylodes phyllodes,211671,,,,,,,,,,,,,,,,,,,RJ,,211671
Arredores Da Cidade,-22.466.336,-43.271.731,Amphibia,Aplastodiscus,Hylidae,Aplastodiscus albosignatus,204448,,,,,,,,,,,,,,,,,,,RJ,,204448
Arredores Da Cidade,-22.473.239,-43.267.886,Amphibia,Aplastodiscus,Hylidae,Sem InformaÃ§Ãµes,204449,,,,,,,,,,,,,,,,,,,RJ,,204449
Arredores Da Cidade,-22.413.389,-43.173.654,Amphibia,Bokermannohyla,Hylidae,Sem InformaÃ§Ãµes,204450,,,,,,,,,,,,,,,,,,,RJ,,204450
Arredores Da Cidade,-22.472.991,-43.265.587,Amphibia,Crossodactylus,Hylodidae,Sem InformaÃ§Ãµes,204453,,,,,,,,,,,,,,,,,,,RJ,,204453
Arredores Da Cidade,-22.532.072,-43.270.017,Amphibia,Cycloramphus,Cycloramphidae,Sem InformaÃ§Ãµes,204454,,,,,,,,,,,,,,,,,,,RJ,,204454
Arredores Da Cidade,-22.586.444,-4.322.325,Amphibia,Cycloramphus,Cycloramphidae,Sem InformaÃ§Ãµes,204455,,,,,,,,,,,,,,,,,,,RJ,,204455
Arredores Da Cidade,-22.588.472,-43.225.972,Amphibia,Dendropsophus,Hylidae,Dendropsophus elegans,204456,,,,,,,,,,,,,,,,,,,RJ,,204456
Arredores Da Cidade,-22.414.891,-4.317.332,Amphibia,Dendropsophus,Hylidae,Dendropsophus minutus,204457,,,,,,,,,,,,,,,,,,,RJ,,204457
Arredores Da Cidade,-22.413.389,-43.173.654,Amphibia,Haddadus,Craugastoridae,Haddadus binotatus,204502,,,,,,,,,,,,,,,,,,,RJ,,204502
Arredores Da Cidade,-22.414.589,-4.317.426,Amphibia,Haddadus,Craugastoridae,Sem InformaÃ§Ãµes,204503,,,,,,,,,,,,,,,,,,,RJ,,204503
Arredores Da Cidade,-22.593.361,-43.225.472,Amphibia,Hylodes,Hylodidae,Hylodes pipilans,204506,,,,,,,,,,,,,,,,,,,RJ,,204506
Arredores Da Cidade,-22.556.722,-43.277.833,Amphibia,Hypsiboas,Hylidae,Hypsiboas albomarginatus,204508,,,,,,,,,,,,,,,,,,,RJ,,204508
Arredores Da Cidade,-22.413.278,-4.317.325,Amphibia,Hypsiboas,Hylidae,Hypsiboas albopunctatus,204509,,,,,,,,,,,,,,,,,,,RJ,,204509
Arredores Da Cidade,-22.590.472,-43.228.306,Amphibia,Hypsiboas,Hylidae,Hypsiboas pardalis,204510,,,,,,,,,,,,,,,,,,,RJ,,204510
Arredores Da Cidade,-22.414.589,-4.317.426,Amphibia,Hypsiboas,Hylidae,Hypsiboas faber,204511,,,,,,,,,,,,,,,,,,,RJ,,204511
Arredores Da Cidade,-22.413.039,-4.317.276,Amphibia,Hypsiboas,Hylidae,Hypsiboas faber,204512,,,,,,,,,,,,,,,,,,,RJ,,204512
Arredores Da Cidade,-22.410.939,-4.317.321,Amphibia,Hypsiboas,Hylidae,Hypsiboas pardalis,204513,,,,,,,,,,,,,,,,,,,RJ,,204513
Arredores Da Cidade,-22.413.389,-43.173.654,Amphibia,Hypsiboas,Hylidae,Hypsiboas polytaenius,204514,,,,,,,,,,,,,,,,,,,RJ,,204514
Arredores Da Cidade,-22.415.112,-43.174.381,Amphibia,Ischnocnema,Brachycephalidae,Ischnocnema guentheri,204515,,,,,,,,,,,,,,,,,,,RJ,,204515
Arredores Da Cidade,-22.472.675,-43.265.593,Amphibia,Ischnocnema,Brachycephalidae,Ischnocnema parva,204516,,,,,,,,,,,,,,,,,,,RJ,,204516
Arredores Da Cidade,-22.466.336,-43.271.731,Amphibia,Ischnocnema,Brachycephalidae,Sem InformaÃ§Ãµes,204517,,,,,,,,,,,,,,,,,,,RJ,,204517
Arredores Da Cidade,-22.556.722,-43.277.833,Amphibia,Leptodactylus,Leptodactylidae,Leptodactylus ocellatus,204519,,,,,,,,,,,,,,,,,,,RJ,,204519
Arredores Da Cidade,-22.556.722,-43.277.833,Amphibia,Leptodactylus,Leptodactylidae,Leptodactylus fuscus,204520,,,,,,,,,,,,,,,,,,,RJ,,204520
Arredores Da Cidade,-22.472.722,-43.265.833,Amphibia,Megaelosia,Hylodidae,Sem InformaÃ§Ãµes,204523,,,,,,,,,,,,,,,,,,,RJ,,204523
Arredores Da Cidade,-22.586.444,-4.322.325,Amphibia,Phasmahyla,Hylidae,Sem InformaÃ§Ãµes,204525,,,,,,,,,,,,,,,,,,,RJ,,204525
Arredores Da Cidade,-22.556.722,-43.277.833,Amphibia,Physalaemus,Leiuperidae,Physalaemus signifer,204526,,,,,,,,,,,,,,,,,,,RJ,,204526
Arredores Da Cidade,-22.414.589,-4.317.426,Amphibia,Proceratophrys,Cycloramphidae,Proceratophrys boiei,204527,,,,,,,,,,,,,,,,,,,RJ,,204527
Arredores Da Cidade,-22.472.991,-43.265.587,Amphibia,Proceratophrys,Cycloramphidae,Proceratophrys melanopogon,204528,,,,,,,,,,,,,,,,,,,RJ,,204528
Arredores Da Cidade,-22.407.838,-43.173.458,Amphibia,Rhinella,Bufonidae,Rhinella crucifer,204529,,,,,,,,,,,,,,,,,,,RJ,,204529
Arredores Da Cidade,-22.414.891,-4.317.332,Amphibia,Rhinella,Bufonidae,Rhinella icterica,204530,,,,,,,,,,,,,,,,,,,RJ,,204530
Arredores Da Cidade,-22.588.472,-43.225.972,Amphibia,Rhinella,Bufonidae,Rhinella ornata,204531,,,,,,,,,,,,,,,,,,,RJ,,204531
Arredores Da Cidade,-22.586.444,-4.322.325,Amphibia,Scinax,Hylidae,Scinax albicans,204532,,,,,,,,,,,,,,,,,,,RJ,,204532
Arredores Da Cidade,-2.247.255,-432.657,Amphibia,Scinax,Hylidae,Scinax flavoguttatus,204533,,,,,,,,,,,,,,,,,,,RJ,,204533
Arredores Da Cidade,-22.472.861,-43.268.278,Amphibia,Scinax,Hylidae,Scinax flavoguttatus,204534,,,,,,,,,,,,,,,,,,,RJ,,204534
Arredores Da Cidade,-22.426.868,-43.050.146,Amphibia,Scinax,Hylidae,Scinax hayii,204535,,,,,,,,,,,,,,,,,,,RJ,,204535
Arredores Da Cidade,-22.406.264,-43.150.944,Amphibia,Thoropa,Cycloramphidae,Thoropa miliaris,204538,,,,,,,,,,,,,,,,,,,RJ,,204538
Arredores Da Cidade,-22.406.264,-43.150.944,Amphibia,Thoropa,Cycloramphidae,Sem InformaÃ§Ãµes,204539,,,,,,,,,,,,,,,,,,,RJ,,204539
Arredores Da Cidade,-22.471.944,-43.267.194,Amphibia,Hyalinobatrachium,Centrolenidae,Sem InformaÃ§Ãµes,204542,,,,,,,,,,,,,,,,,,,RJ,,204542
Arredores Da Cidade,-22.466.626,-43.271.913,Amphibia,Zachaenus,Cycloramphidae,Zachaenus parvulus,204544,,,,,,,,,,,,,,,,,,,RJ,,204544
Arredores Da Cidade,-22.588.194,-4.322.475,Amphibia,Zachaenus,Not assigned,Sem InformaÃ§Ãµes,204545,,,,,,,,,,,,,,,,,,,RJ,,204545
Arredores Da Cidade,-22.466.336,-43.271.731,Amphibia,Aplastodiscus,Hylidae,Aplastodiscus albosignatus,208903,,,,,,,,,,,,,,,,,,,RJ,,208903
Arredores Da Cidade,-22.473.239,-43.267.886,Amphibia,Aplastodiscus,Hylidae,Sem InformaÃ§Ãµes,208904,,,,,,,,,,,,,,,,,,,RJ,,208904
Arredores Da Cidade,-22.413.389,-43.173.654,Amphibia,Bokermannohyla,Hylidae,Sem InformaÃ§Ãµes,208905,,,,,,,,,,,,,,,,,,,RJ,,208905
Arredores Da Cidade,-22.472.991,-43.265.587,Amphibia,Crossodactylus,Hylodidae,Sem InformaÃ§Ãµes,208908,,,,,,,,,,,,,,,,,,,RJ,,208908
Arredores Da Cidade,-22.532.072,-43.270.017,Amphibia,Cycloramphus,Cycloramphidae,Sem InformaÃ§Ãµes,208909,,,,,,,,,,,,,,,,,,,RJ,,208909
Arredores Da Cidade,-22.586.444,-4.322.325,Amphibia,Cycloramphus,Cycloramphidae,Sem InformaÃ§Ãµes,208910,,,,,,,,,,,,,,,,,,,RJ,,208910
Arredores Da Cidade,-22.588.472,-43.225.972,Amphibia,Dendropsophus,Hylidae,Dendropsophus elegans,208911,,,,,,,,,,,,,,,,,,,RJ,,208911
Arredores Da Cidade,-22.414.891,-4.317.332,Amphibia,Dendropsophus,Hylidae,Dendropsophus minutus,208912,,,,,,,,,,,,,,,,,,,RJ,,208912
Arredores Da Cidade,-22.413.389,-43.173.654,Amphibia,Haddadus,Craugastoridae,Haddadus binotatus,208917,,,,,,,,,,,,,,,,,,,RJ,,208917
Arredores Da Cidade,-22.414.589,-4.317.426,Amphibia,Haddadus,Craugastoridae,Sem InformaÃ§Ãµes,208918,,,,,,,,,,,,,,,,,,,RJ,,208918
Arredores Da Cidade,-22.593.361,-43.225.472,Amphibia,Hylodes,Hylodidae,Hylodes pipilans,208921,,,,,,,,,,,,,,,,,,,RJ,,208921
Arredores Da Cidade,-22.556.722,-43.277.833,Amphibia,Hypsiboas,Hylidae,Hypsiboas albomarginatus,208923,,,,,,,,,,,,,,,,,,,RJ,,208923
Arredores Da Cidade,-22.413.278,-4.317.325,Amphibia,Hypsiboas,Hylidae,Hypsiboas albopunctatus,208924,,,,,,,,,,,,,,,,,,,RJ,,208924
Arredores Da Cidade,-22.590.472,-43.228.306,Amphibia,Hypsiboas,Hylidae,Hypsiboas pardalis,208925,,,,,,,,,,,,,,,,,,,RJ,,208925
Arredores Da Cidade,-22.414.589,-4.317.426,Amphibia,Hypsiboas,Hylidae,Hypsiboas faber,208926,,,,,,,,,,,,,,,,,,,RJ,,208926
Arredores Da Cidade,-22.413.039,-4.317.276,Amphibia,Hypsiboas,Hylidae,Hypsiboas faber,208927,,,,,,,,,,,,,,,,,,,RJ,,208927
Arredores Da Cidade,-22.410.939,-4.317.321,Amphibia,Hypsiboas,Hylidae,Hypsiboas pardalis,208928,,,,,,,,,,,,,,,,,,,RJ,,208928
Arredores Da Cidade,-22.413.389,-43.173.654,Amphibia,Hypsiboas,Hylidae,Hypsiboas polytaenius,208929,,,,,,,,,,,,,,,,,,,RJ,,208929
Arredores Da Cidade,-22.415.112,-43.174.381,Amphibia,Ischnocnema,Brachycephalidae,Ischnocnema guentheri,208930,,,,,,,,,,,,,,,,,,,RJ,,208930
Arredores Da Cidade,-22.472.675,-43.265.593,Amphibia,Ischnocnema,Brachycephalidae,Ischnocnema parva,208931,,,,,,,,,,,,,,,,,,,RJ,,208931
Arredores Da Cidade,-22.466.336,-43.271.731,Amphibia,Ischnocnema,Brachycephalidae,Sem InformaÃ§Ãµes,208932,,,,,,,,,,,,,,,,,,,RJ,,208932
Arredores Da Cidade,-22.556.722,-43.277.833,Amphibia,Leptodactylus,Leptodactylidae,Leptodactylus ocellatus,208934,,,,,,,,,,,,,,,,,,,RJ,,208934
Arredores Da Cidade,-22.556.722,-43.277.833,Amphibia,Leptodactylus,Leptodactylidae,Leptodactylus fuscus,208935,,,,,,,,,,,,,,,,,,,RJ,,208935
Arredores Da Cidade,-22.472.722,-43.265.833,Amphibia,Megaelosia,Hylodidae,Sem InformaÃ§Ãµes,208938,,,,,,,,,,,,,,,,,,,RJ,,208938
Arredores Da Cidade,-22.586.444,-4.322.325,Amphibia,Phasmahyla,Hylidae,Sem InformaÃ§Ãµes,208940,,,,,,,,,,,,,,,,,,,RJ,,208940
Arredores Da Cidade,-22.556.722,-43.277.833,Amphibia,Physalaemus,Leiuperidae,Physalaemus signifer,208941,,,,,,,,,,,,,,,,,,,RJ,,208941
Arredores Da Cidade,-22.414.589,-4.317.426,Amphibia,Proceratophrys,Cycloramphidae,Proceratophrys boiei,208942,,,,,,,,,,,,,,,,,,,RJ,,208942
Arredores Da Cidade,-22.472.991,-43.265.587,Amphibia,Proceratophrys,Cycloramphidae,Proceratophrys melanopogon,208943,,,,,,,,,,,,,,,,,,,RJ,,208943
Arredores Da Cidade,-22.407.838,-43.173.458,Amphibia,Rhinella,Bufonidae,Rhinella crucifer,208944,,,,,,,,,,,,,,,,,,,RJ,,208944
Arredores Da Cidade,-22.414.891,-4.317.332,Amphibia,Rhinella,Bufonidae,Rhinella icterica,208945,,,,,,,,,,,,,,,,,,,RJ,,208945
Arredores Da Cidade,-22.588.472,-43.225.972,Amphibia,Rhinella,Bufonidae,Rhinella ornata,208946,,,,,,,,,,,,,,,,,,,RJ,,208946
Arredores Da Cidade,-22.586.444,-4.322.325,Amphibia,Scinax,Hylidae,Scinax albicans,208947,,,,,,,,,,,,,,,,,,,RJ,,208947
Arredores Da Cidade,-2.247.255,-432.657,Amphibia,Scinax,Hylidae,Scinax flavoguttatus,208948,,,,,,,,,,,,,,,,,,,RJ,,208948
Arredores Da Cidade,-22.472.861,-43.268.278,Amphibia,Scinax,Hylidae,Scinax flavoguttatus,208949,,,,,,,,,,,,,,,,,,,RJ,,208949
Arredores Da Cidade,-22.426.868,-43.050.146,Amphibia,Scinax,Hylidae,Scinax hayii,208950,,,,,,,,,,,,,,,,,,,RJ,,208950
Arredores Da Cidade,-22.406.264,-43.150.944,Amphibia,Thoropa,Cycloramphidae,Thoropa miliaris,208953,,,,,,,,,,,,,,,,,,,RJ,,208953
Arredores Da Cidade,-22.406.264,-43.150.944,Amphibia,Thoropa,Cycloramphidae,Sem InformaÃ§Ãµes,208954,,,,,,,,,,,,,,,,,,,RJ,,208954
Arredores Da Cidade,-22.471.944,-43.267.194,Amphibia,Hyalinobatrachium,Centrolenidae,Sem InformaÃ§Ãµes,208957,,,,,,,,,,,,,,,,,,,RJ,,208957
Arredores Da Cidade,-22.466.626,-43.271.913,Amphibia,Zachaenus,Cycloramphidae,Zachaenus parvulus,208959,,,,,,,,,,,,,,,,,,,RJ,,208959
Arredores Da Cidade,-22.588.194,-4.322.475,Amphibia,Zachaenus,Not assigned,Sem InformaÃ§Ãµes,208960,,,,,,,,,,,,,,,,,,,RJ,,208960
Ilha Da Marambaia,-23.060.436,-43.976.772,Amphibia,Aplastodiscus,Hylidae,Aplastodiscus eugenioi,193900,,,,,,,,,,,,,,,,,,,RJ,,193900
Ilha Da Marambaia,-23.065.556,-43.976.667,Amphibia,Thoropa,Cycloramphidae,Thoropa miliaris,194147,,,,,,,,,,,,,,,,,,,RJ,,194147
Ilha Da Marambaia,-23.065.556,-43.976.667,Amphibia,Thoropa,Cycloramphidae,Thoropa miliaris,194148,,,,,,,,,,,,,,,,,,,RJ,,194148
Ilha Da Marambaia,-23.065.794,-43.982.989,Amphibia,Rhinella,Bufonidae,Rhinella ornata,194151,,,,,,,,,,,,,,,,,,,RJ,,194151
Ilha Da Marambaia,-23.065.792,-43.982.989,Amphibia,Rhinella,Bufonidae,Rhinella ornata,194152,,,,,,,,,,,,,,,,,,,RJ,,194152
Ilha Da Marambaia,-23.065.792,-43.982.989,Amphibia,Leptodactylus,Leptodactylidae,Leptodactylus ocellatus,194153,,,,,,,,,,,,,,,,,,,RJ,,194153
Ilha Da Marambaia,-23.065.792,-43.982.989,Amphibia,Hypsiboas,Hylidae,Hypsiboas albomarginatus,194155,,,,,,,,,,,,,,,,,,,RJ,,194155
Ilha Da Marambaia,-23.065.792,-43.982.989,Amphibia,Hypsiboas,Hylidae,Hypsiboas albomarginatus,194156,,,,,,,,,,,,,,,,,,,RJ,,194156
Ilha Da Marambaia,-23.065.792,-43.982.989,Amphibia,Haddadus,Craugastoridae,Haddadus binotatus,194157,,,,,,,,,,,,,,,,,,,RJ,,194157
Ilha Da Marambaia,-23.065.792,-43.982.989,Amphibia,Rhinella,Bufonidae,Rhinella ornata,194162,,,,,,,,,,,,,,,,,,,RJ,,194162
Ilha Da Marambaia,-23.065.792,-43.982.989,Amphibia,Physalaemus,Leiuperidae,Physalaemus signifer,194163,,,,,,,,,,,,,,,,,,,RJ,,194163
Ilha Da Marambaia,-23.065.792,-43.982.989,Amphibia,Leptodactylus,Leptodactylidae,Leptodactylus marmoratus,194164,,,,,,,,,,,,,,,,,,,RJ,,194164
Ilha Da Marambaia,-23.065.792,-43.982.989,Amphibia,Leptodactylus,Leptodactylidae,Leptodactylus ocellatus,194165,,,,,,,,,,,,,,,,,,,RJ,,194165
Ilha Da Marambaia,-23.065.792,-43.982.989,Amphibia,Haddadus,Craugastoridae,Haddadus binotatus,194166,,,,,,,,,,,,,,,,,,,RJ,,194166
Ilha Da Marambaia,-23.065.792,-43.982.989,Amphibia,Aplastodiscus,Hylidae,Aplastodiscus eugenioi,194167,,,,,,,,,,,,,,,,,,,RJ,,194167
Ilha De Itacuruçá,-22.942.342,-43.890.017,Amphibia,Haddadus,Craugastoridae,Haddadus binotatus,194181,,,,,,,,,,,,,,,,,,,RJ,,194181
